node_key,level1_id
CANONICAL_ENTITY:1954_GENEVA_AGREEMENT,0
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION,3
CANONICAL_ENTITY:ABBOUD,5
CANONICAL_ENTITY:ABDULLAH_RIMAWI,3
CANONICAL_ENTITY:ACCRA,9
CANONICAL_ENTITY:ADENAUER,5
CANONICAL_ENTITY:ADENAUERS_PARTY,2
CANONICAL_ENTITY:ADMIRAL_MARTADINATA,0
CANONICAL_ENTITY:ADOULA,1
CANONICAL_ENTITY:ADRIANO_MOREIRA,4
CANONICAL_ENTITY:AFGHANISTAN,7
CANONICAL_ENTITY:AFGHAN_ARMY,3
CANONICAL_ENTITY:AFGHAN_ARMY_UNIFORM_FACTORY,6
CANONICAL_ENTITY:AFRICA,2
CANONICAL_ENTITY:AFRICAN_EXILE_GROUPS,5
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS,5
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS_ANC,8
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES,4
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES_FRAIN,4
CANONICAL_ENTITY:AFRO_ASIAN_BLOC,4
CANONICAL_ENTITY:AFRO_ASIAN_STATES,1
CANONICAL_ENTITY:AHIDJO,3
CANONICAL_ENTITY:AIR_FORCE_COMMANDER,9
CANONICAL_ENTITY:AIR_MARSHAL_SURYADARMA,0
CANONICAL_ENTITY:AKIF_FAYIZ,8
CANONICAL_ENTITY:AKO_ADJEI,1
CANONICAL_ENTITY:ALBANIA,2
CANONICAL_ENTITY:ALBANIAN_PARTY_CONGRESS,2
CANONICAL_ENTITY:ALBANIAN_WORKERS_COMMUNIST_PARTY,2
CANONICAL_ENTITY:ALBERT_DELVAUX,1
CANONICAL_ENTITY:ALDO_MORO,6
CANONICAL_ENTITY:ALFONS_GORBACH,3
CANONICAL_ENTITY:ALGERIA,5
CANONICAL_ENTITY:ALGERIAN_NATIONAL_MOVEMENT_MNA,0
CANONICAL_ENTITY:ALGERIAN_REBELS,3
CANONICAL_ENTITY:ALGERIAN_REBEL_GOVERNMENT,4
CANONICAL_ENTITY:ALGIERS,2
CANONICAL_ENTITY:ALICAN,7
CANONICAL_ENTITY:ALIONE_DIAKITE,1
CANONICAL_ENTITY:ALI_ABU_NUWAR,3
CANONICAL_ENTITY:AMBASSADOR_BROWN,0
CANONICAL_ENTITY:AMBASSADOR_DRUMRIGHT,0
CANONICAL_ENTITY:AMBASSADOR_LODGE,0
CANONICAL_ENTITY:AMBASSADOR_REISCHAUER,4
CANONICAL_ENTITY:AMBASSADOR_STEVENSON,1
CANONICAL_ENTITY:AMBASSADOR_THOMPSON,1
CANONICAL_ENTITY:AMBASSADOR_TIMBERLAKE,1
CANONICAL_ENTITY:AMERICAN_AMBASSADOR,9
CANONICAL_ENTITY:AMERICAN_CONSUL,1
CANONICAL_ENTITY:AMERICAN_CONSULATE_GENERAL_IN_HONG_KONG,10
CANONICAL_ENTITY:AMERICAN_CONSUL_GENERAL_IN_SALISBURY,1
CANONICAL_ENTITY:AMERICAN_EMBASSY,10
CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_LEOPOLDVILLE,9
CANONICAL_ENTITY:ANDHRA_PRADESH,2
CANONICAL_ENTITY:ANDRE_RENARD,3
CANONICAL_ENTITY:ANGLO_AMERICAN_CONSORTIUM,2
CANONICAL_ENTITY:ANGLO_ITALIAN_NEGOTIATING_TEAM,1
CANONICAL_ENTITY:ANGOLA,4
CANONICAL_ENTITY:ANGOLAN_PEOPLES_UNION_UPA,4
CANONICAL_ENTITY:ANICET_KASHAMURA,1
CANONICAL_ENTITY:ANSAR_SECT,5
CANONICAL_ENTITY:ANTIGOVERNMENT,0
CANONICAL_ENTITY:ANTI_COMMUNIST_TEACHERS,3
CANONICAL_ENTITY:ANTI_FASCIST_PEOPLES_FREEDOM_LEAGUE,7
CANONICAL_ENTITY:ANTONIO_PINTO_BARBOSA,4
CANONICAL_ENTITY:APRIL_AND_MAY_REVOLUTIONARY_PARTY,5
CANONICAL_ENTITY:ARAB_LEAGUE,3
CANONICAL_ENTITY:ARBENZ,7
CANONICAL_ENTITY:ARDESHIR_ZAHEDI,2
CANONICAL_ENTITY:ARGENTINA,6
CANONICAL_ENTITY:ARINOS,2
CANONICAL_ENTITY:ARMANDO_VELASQUEZ,5
CANONICAL_ENTITY:ARMED_FORCES,8
CANONICAL_ENTITY:ASIA,2
CANONICAL_ENTITY:ASSISTANT_CHIEF_OF_STAFF_FOR_INTELLIGENCE_DEPARTMENT_OF_ARMY,6
CANONICAL_ENTITY:ATAMAN,7
CANONICAL_ENTITY:ATHENS,3
CANONICAL_ENTITY:ATOMIC_ENERGY_COMMISSION,6
CANONICAL_ENTITY:ATTORNEY_GENERAL,6
CANONICAL_ENTITY:AUNG_SHWE,1
CANONICAL_ENTITY:AUSTRIA,3
CANONICAL_ENTITY:AUTHENTIC_MNR,6
CANONICAL_ENTITY:AVERKY_ARISTOV,2
CANONICAL_ENTITY:AVRO,7
CANONICAL_ENTITY:AYUB,7
CANONICAL_ENTITY:AYUB_KHAN,7
CANONICAL_ENTITY:AYUB_REGIME,4
CANONICAL_ENTITY:AZORES_BASES_AGREEMENT,4
CANONICAL_ENTITY:BAATH_PARTY,3
CANONICAL_ENTITY:BADR,8
CANONICAL_ENTITY:BAGHDAD,3
CANONICAL_ENTITY:BAGHDAD_MILITARY_COURT,1
CANONICAL_ENTITY:BAGHDAD_UNIVERSITY,3
CANONICAL_ENTITY:BAJAUR_REGION,6
CANONICAL_ENTITY:BALEWA,1
CANONICAL_ENTITY:BALUBA,1
CANONICAL_ENTITY:BALUBA_FORCES,1
CANONICAL_ENTITY:BALUBA_IRREGULARS,3
CANONICAL_ENTITY:BALUBA_TRIBESMEN,1
CANONICAL_ENTITY:BANI_SAKHIR,8
CANONICAL_ENTITY:BANI_SAKHIR_BEDOUIN_TRIBE,3
CANONICAL_ENTITY:BANK_OF_CHINA,8
CANONICAL_ENTITY:BAN_PHA_PHO,0
CANONICAL_ENTITY:BAN_TA_VIANG,0
CANONICAL_ENTITY:BARROSO,0
CANONICAL_ENTITY:BAYAR,7
CANONICAL_ENTITY:BELGIAN_ARMY,1
CANONICAL_ENTITY:BELGIAN_CONTROLLED_MINING_COMPANY,9
CANONICAL_ENTITY:BELGIAN_DEFENSE_MINISTRY,0
CANONICAL_ENTITY:BELGIAN_FOREIGN_MINISTRY,1
CANONICAL_ENTITY:BELGIAN_GOVERNMENT,4
CANONICAL_ENTITY:BELGIAN_MILITARY,1
CANONICAL_ENTITY:BELGIAN_TRUST_TERRITORY_OF_RUANDA_URUNDI,1
CANONICAL_ENTITY:BELGIUM,1
CANONICAL_ENTITY:BELGRADE,1
CANONICAL_ENTITY:BENEDIKTOV,2
CANONICAL_ENTITY:BEN_GURION,5
CANONICAL_ENTITY:BERLIN,5
CANONICAL_ENTITY:BERTHOLD_BEITZ,3
CANONICAL_ENTITY:BHUTAN,2
CANONICAL_ENTITY:BIG_FOUR,2
CANONICAL_ENTITY:BISHOP_DIBELIUS,9
CANONICAL_ENTITY:BOGOTA,3
CANONICAL_ENTITY:BOLIVIA,3
CANONICAL_ENTITY:BOLIVIAN_GOVERNMENT,9
CANONICAL_ENTITY:BOLZANO_PROVINCE,3
CANONICAL_ENTITY:BOMBOKO,1
CANONICAL_ENTITY:BONN,2
CANONICAL_ENTITY:BONN_FOREIGN_MINISTRY,2
CANONICAL_ENTITY:BOTELHO_MONIZ,4
CANONICAL_ENTITY:BOUN_OUM,0
CANONICAL_ENTITY:BOUN_OUM_GOVERNMENT,0
CANONICAL_ENTITY:BOUN_OUM_REGIME,0
CANONICAL_ENTITY:BOURGUIBA,5
CANONICAL_ENTITY:BOURGUIBAISM,4
CANONICAL_ENTITY:BRAZIL,2
CANONICAL_ENTITY:BRAZZAVILLE,4
CANONICAL_ENTITY:BREZHNEV,2
CANONICAL_ENTITY:BRIGADIER_AUNG_GYI,0
CANONICAL_ENTITY:BRIGADIER_MAUNG_MAUNG,2
CANONICAL_ENTITY:BRITAIN,0
CANONICAL_ENTITY:BRITISH,0
CANONICAL_ENTITY:BRITISH_AMBASSADOR,0
CANONICAL_ENTITY:BRITISH_BONDHOLDERS,3
CANONICAL_ENTITY:BRITISH_CAMEROONS,3
CANONICAL_ENTITY:BRITISH_COLONIAL_SECRETARY_MACLEOD,8
