community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary,community,display_label
0,COMMUNITY:0,1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA),"Military posture, security forces, and regime stability",393,1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); AMBASSADOR BROWN; AMBASSADOR DRUMRIGHT; AMBASSADOR LODGE; ANTIGOVERNMENT; BAN PHA PHO; BAN TA VIANG; BARROSO; BELGIAN DEFENSE MINISTRY; BOUN OUM; BOUN OUM GOVERNMENT; BOUN OUM REGIME,"{""EventCluster"": 202, ""CanonicalEntity"": 191}",This group connects 393 lower-level nodes around: 1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA); AMBASSADOR BROWN; AMBASSADOR DRUMRIGHT; AMBASSADOR LODGE; ANTIGOVERNMENT.,0,1954 GENEVA AGREEMENT; ADMIRAL MARTADINATA; AIR MARSHAL SURYADARMA; ALGERIAN NATIONAL MOVEMENT (MNA)
1,COMMUNITY:1,ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX,"Military posture, security forces, and regime stability",356,ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX; ALIONE DIAKITE; AMBASSADOR STEVENSON; AMBASSADOR THOMPSON; AMBASSADOR TIMBERLAKE; AMERICAN CONSUL; AMERICAN CONSUL GENERAL IN SALISBURY; ANGLO-ITALIAN NEGOTIATING TEAM; ANICET KASHAMURA; AUNG SHWE; BAGHDAD MILITARY COURT; BALEWA,"{""EventCluster"": 190, ""CanonicalEntity"": 166}",This group connects 356 lower-level nodes around: ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX; ALIONE DIAKITE; AMBASSADOR STEVENSON; AMBASSADOR THOMPSON; AMBASSADOR TIMBERLAKE.,1,ADOULA; AFRO-ASIAN STATES; AKO ADJEI; ALBERT DELVAUX
2,COMMUNITY:2,ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS,Labor unrest and internal political pressure,331,ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS; ALBANIAN WORKERS (COMMUNIST) PARTY; ALGIERS; ANDHRA PRADESH; ANGLO-AMERICAN CONSORTIUM; ARDESHIR ZAHEDI; ARINOS; ASIA; AVERKY ARISTOV; BENEDIKTOV; BHUTAN; BIG FOUR,"{""CanonicalEntity"": 194, ""EventCluster"": 137}",This group connects 331 lower-level nodes around: ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS; ALBANIAN WORKERS (COMMUNIST) PARTY; ALGIERS; ANDHRA PRADESH; ANGLO-AMERICAN CONSORTIUM.,2,ADENAUERS PARTY; AFRICA; ALBANIA; ALBANIAN PARTY CONGRESS
3,COMMUNITY:3,1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO,"Military posture, security forces, and regime stability",249,1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO; ALFONS GORBACH; ALGERIAN REBELS; ALI ABU NUWAR; ANDRE RENARD; ANTI-COMMUNIST TEACHERS; ARAB LEAGUE; ATHENS; AUSTRIA; BAATH PARTY; BAGHDAD; BAGHDAD UNIVERSITY,"{""CanonicalEntity"": 145, ""EventCluster"": 104}",This group connects 249 lower-level nodes around: 1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO; ALFONS GORBACH; ALGERIAN REBELS; ALI ABU NUWAR; ANDRE RENARD.,3,1ST INFANTRY DIVISION; ABDULLAH RIMAWI; AFGHAN ARMY; AHIDJO
4,COMMUNITY:4,ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC,Labor unrest and internal political pressure,175,ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC; ALGERIAN REBEL GOVERNMENT; AMBASSADOR REISCHAUER; ANGOLA; ANGOLAN PEOPLES UNION (UPA); ANTONIO PINTO BARBOSA; AYUB REGIME; AZORES BASES AGREEMENT; BELGIAN GOVERNMENT; BOTELHO MONIZ; BOURGUIBAISM; BRAZZAVILLE,"{""CanonicalEntity"": 100, ""EventCluster"": 75}",This group connects 175 lower-level nodes around: ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC; ALGERIAN REBEL GOVERNMENT; AMBASSADOR REISCHAUER; ANGOLA; ANGOLAN PEOPLES UNION (UPA).,4,ADRIANO MOREIRA; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); AFRO-ASIAN BLOC
5,COMMUNITY:5,ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS,Cold War crisis monitoring and escalation,138,ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS; ALGERIA; ANSAR SECT; APRIL AND MAY REVOLUTIONARY PARTY; ARMANDO VELASQUEZ; BEN-GURION; BERLIN; BOURGUIBA; CENTO; CHARLES DE GAULLE; CHIEF LUTHULI; CHINESE COMMUNIST NAVY,"{""CanonicalEntity"": 83, ""EventCluster"": 55}",This group connects 138 lower-level nodes around: ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS; ALGERIA; ANSAR SECT; APRIL AND MAY REVOLUTIONARY PARTY; ARMANDO VELASQUEZ.,5,ABBOUD; ADENAUER; AFRICAN EXILE GROUPS; AFRICAN NATIONAL CONGRESS
6,COMMUNITY:6,"AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY","Military posture, security forces, and regime stability",98,"AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ATOMIC ENERGY COMMISSION; ATTORNEY GENERAL; AUTHENTIC MNR; BAJAUR REGION; CHRISTIAN DEMOCRATIC PARTY; COMMUNISTS; COMMUNIST PARTY; CONGRESS PARTY; DEPARTMENT OF COMMERCE; DEPARTMENT OF DEFENSE; DEPARTMENT OF JUSTICE","{""CanonicalEntity"": 69, ""EventCluster"": 29}","This group connects 98 lower-level nodes around: AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ATOMIC ENERGY COMMISSION; ATTORNEY GENERAL; AUTHENTIC MNR; BAJAUR REGION.",6,"AFGHAN ARMY UNIFORM FACTORY; ALDO MORO; ARGENTINA; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY"
7,COMMUNITY:7,AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ,Labor unrest and internal political pressure,91,AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ; ATAMAN; AVRO; AYUB; AYUB KHAN; BAYAR; COMMITTEE OF NATIONAL UNION; C-47; DAUD; DEMOCRATIC PARTY; ECUADOR; FEYZIOGLU,"{""CanonicalEntity"": 55, ""EventCluster"": 36}",This group connects 91 lower-level nodes around: AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ; ATAMAN; AVRO; AYUB; AYUB KHAN.,7,AFGHANISTAN; ALICAN; ANTI-FASCIST PEOPLES FREEDOM LEAGUE; ARBENZ
8,COMMUNITY:8,AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR,Chinese policy and regional positioning,70,AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR; BANI SAKHIR; BANK OF CHINA; BRITISH COLONIAL SECRETARY MACLEOD; CENTRAL BANK; CIUDAD TRUJILLO; COLOMBIAN GOVERNMENT; COLONIAL OFFICE; COMMONWEALTH RELATIONS OFFICE; CROWN PRINCE BADR; DOMINICAN MILITARY INTELLIGENCE SERVICE (SIM); DOMINICAN REPUBLIC,"{""CanonicalEntity"": 50, ""EventCluster"": 20}",This group connects 70 lower-level nodes around: AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR; BANI SAKHIR; BANK OF CHINA; BRITISH COLONIAL SECRETARY MACLEOD; CENTRAL BANK.,8,AFRICAN NATIONAL CONGRESS (ANC); AKIF FAYIZ; ARMED FORCES; BADR
9,COMMUNITY:9,ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE,Cold War crisis monitoring and escalation,43,ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE; BELGIAN-CONTROLLED MINING COMPANY; BISHOP DIBELIUS; BOLIVIAN GOVERNMENT; BRITISH EMBASSY; CZECHOSLOVAKIA; DAI VIET PARTY; DEPUTY FOREIGN MINISTER HAJEK; EAST BERLIN; EMPEROR; EVANGELICAL CHURCH; GENERAL MENGHISTU,"{""CanonicalEntity"": 26, ""EventCluster"": 17}",This group connects 43 lower-level nodes around: ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE; BELGIAN-CONTROLLED MINING COMPANY; BISHOP DIBELIUS; BOLIVIAN GOVERNMENT; BRITISH EMBASSY.,9,ACCRA; AIR FORCE COMMANDER; AMERICAN AMBASSADOR; AMERICAN EMBASSY IN LEOPOLDVILLE
