node_key,label,node_type,source_type,example_mention,canonicalization_source,mention_count,source
CANONICAL_ENTITY:1954_GENEVA_AGREEMENT,1954 GENEVA AGREEMENT,CanonicalEntity,Document,1954 Geneva agreement,normalized_label,1.0,
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION,1ST INFANTRY DIVISION,CanonicalEntity,Military,1st Infantry Division,normalized_label,1.0,
CANONICAL_ENTITY:ABBOUD,ABBOUD,CanonicalEntity,Person,Abboud,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:ABDULLAH_RIMAWI,ABDULLAH RIMAWI,CanonicalEntity,Person,Abdullah Rimawi,normalized_label,1.0,
CANONICAL_ENTITY:ACCRA,ACCRA,CanonicalEntity,Location,Accra,normalized_label,2.0,
CANONICAL_ENTITY:ADENAUER,ADENAUER,CanonicalEntity,Person,Adenauer,dictionary; normalized_label,13.0,
CANONICAL_ENTITY:ADENAUERS_PARTY,ADENAUERS PARTY,CanonicalEntity,PoliticalGroup,Adenauer's party,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_MARTADINATA,ADMIRAL MARTADINATA,CanonicalEntity,Person,Admiral Martadinata,normalized_label,1.0,
CANONICAL_ENTITY:ADOULA,ADOULA,CanonicalEntity,Person,Adoula,normalized_label,1.0,
CANONICAL_ENTITY:ADRIANO_MOREIRA,ADRIANO MOREIRA,CanonicalEntity,Person,Adriano Moreira,normalized_label,1.0,
CANONICAL_ENTITY:AFGHANISTAN,AFGHANISTAN,CanonicalEntity,Country,Afghanistan,normalized_label,5.0,
CANONICAL_ENTITY:AFGHAN_ARMY,AFGHAN ARMY,CanonicalEntity,Military,Afghan Army,normalized_label,1.0,
CANONICAL_ENTITY:AFGHAN_ARMY_UNIFORM_FACTORY,AFGHAN ARMY UNIFORM FACTORY,CanonicalEntity,Organization,Afghan army uniform factory,normalized_label,1.0,
CANONICAL_ENTITY:AFRICA,AFRICA,CanonicalEntity,Location,Africa,normalized_label,2.0,
CANONICAL_ENTITY:AFRICAN_EXILE_GROUPS,AFRICAN EXILE GROUPS,CanonicalEntity,PoliticalGroup,African exile groups,normalized_label,1.0,
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS,AFRICAN NATIONAL CONGRESS,CanonicalEntity,PoliticalGroup,African National Congress,normalized_label,1.0,
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS_ANC,AFRICAN NATIONAL CONGRESS (ANC),CanonicalEntity,PoliticalGroup,African National Congress (ANC),normalized_label,1.0,
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,CanonicalEntity,Organization; PoliticalGroup,African Revolutionary Front for the Independence of Portuguese Colonies in Africa,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_INDEPENDENCE_OF_PORTUGUESE_COLONIES_FRAIN,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN),CanonicalEntity,PoliticalGroup,African Revolutionary Front for the National Independence of Portuguese Colonies (FRAIN),normalized_label,1.0,
CANONICAL_ENTITY:AFRO_ASIAN_BLOC,AFRO-ASIAN BLOC,CanonicalEntity,PoliticalGroup,Afro-Asian bloc,normalized_label,2.0,
CANONICAL_ENTITY:AFRO_ASIAN_STATES,AFRO-ASIAN STATES,CanonicalEntity,PoliticalGroup,Afro-Asian states,normalized_label,1.0,
CANONICAL_ENTITY:AHIDJO,AHIDJO,CanonicalEntity,Person,Ahidjo,normalized_label,1.0,
CANONICAL_ENTITY:AIR_FORCE_COMMANDER,AIR FORCE COMMANDER,CanonicalEntity,Person,air force commander,normalized_label,1.0,
CANONICAL_ENTITY:AIR_MARSHAL_SURYADARMA,AIR MARSHAL SURYADARMA,CanonicalEntity,Person,Air Marshal Suryadarma,normalized_label,1.0,
CANONICAL_ENTITY:AKIF_FAYIZ,AKIF FAYIZ,CanonicalEntity,Person,Akif Fayiz,normalized_label,1.0,
CANONICAL_ENTITY:AKO_ADJEI,AKO ADJEI,CanonicalEntity,Person,Ako Adjei,normalized_label,1.0,
CANONICAL_ENTITY:ALBANIA,ALBANIA,CanonicalEntity,Country,Albania,normalized_label,8.0,
CANONICAL_ENTITY:ALBANIAN_PARTY_CONGRESS,ALBANIAN PARTY CONGRESS,CanonicalEntity,Document,Albanian party congress,normalized_label,1.0,
CANONICAL_ENTITY:ALBANIAN_WORKERS_COMMUNIST_PARTY,ALBANIAN WORKERS (COMMUNIST) PARTY,CanonicalEntity,PoliticalGroup,Albanian Workers' (Communist) party,normalized_label,1.0,
CANONICAL_ENTITY:ALBERT_DELVAUX,ALBERT DELVAUX,CanonicalEntity,Person,Albert Delvaux,normalized_label,1.0,
CANONICAL_ENTITY:ALDO_MORO,ALDO MORO,CanonicalEntity,Person,Aldo Moro,normalized_label,1.0,
CANONICAL_ENTITY:ALFONS_GORBACH,ALFONS GORBACH,CanonicalEntity,Person,Alfons Gorbach,normalized_label,2.0,
CANONICAL_ENTITY:ALGERIA,ALGERIA,CanonicalEntity,Country; Location,Algeria,normalized_label,13.0,
CANONICAL_ENTITY:ALGERIAN_NATIONAL_MOVEMENT_MNA,ALGERIAN NATIONAL MOVEMENT (MNA),CanonicalEntity,PoliticalGroup,Algerian National Movement (MNA),normalized_label,1.0,
CANONICAL_ENTITY:ALGERIAN_REBELS,ALGERIAN REBELS,CanonicalEntity,PoliticalGroup,Algerian rebels,normalized_label,2.0,
CANONICAL_ENTITY:ALGERIAN_REBEL_GOVERNMENT,ALGERIAN REBEL GOVERNMENT,CanonicalEntity,PoliticalGroup,Algerian rebel government,normalized_label,1.0,
CANONICAL_ENTITY:ALGIERS,ALGIERS,CanonicalEntity,Location,Algiers,normalized_label,2.0,
CANONICAL_ENTITY:ALICAN,ALICAN,CanonicalEntity,Person,Alican,normalized_label,2.0,
CANONICAL_ENTITY:ALIONE_DIAKITE,ALIONE DIAKITE,CanonicalEntity,Person,Alione Diakite,normalized_label,1.0,
CANONICAL_ENTITY:ALI_ABU_NUWAR,ALI ABU NUWAR,CanonicalEntity,Person,Ali Abu Nuwar,normalized_label,2.0,
CANONICAL_ENTITY:AMBASSADOR_BROWN,AMBASSADOR BROWN,CanonicalEntity,Person,Ambassador Brown,normalized_label,7.0,
CANONICAL_ENTITY:AMBASSADOR_DRUMRIGHT,AMBASSADOR DRUMRIGHT,CanonicalEntity,Person,Ambassador Drumright,normalized_label,1.0,
CANONICAL_ENTITY:AMBASSADOR_LODGE,AMBASSADOR LODGE,CanonicalEntity,Person,Ambassador Lodge,normalized_label,1.0,
CANONICAL_ENTITY:AMBASSADOR_REISCHAUER,AMBASSADOR REISCHAUER,CanonicalEntity,Person,Ambassador Reischauer,normalized_label,1.0,
CANONICAL_ENTITY:AMBASSADOR_STEVENSON,AMBASSADOR STEVENSON,CanonicalEntity,Person,Stevenson,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:AMBASSADOR_THOMPSON,AMBASSADOR THOMPSON,CanonicalEntity,Person,Ambassador Thompson,dictionary; normalized_label,6.0,
CANONICAL_ENTITY:AMBASSADOR_TIMBERLAKE,AMBASSADOR TIMBERLAKE,CanonicalEntity,Person,Timberlake,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:AMERICAN_AMBASSADOR,AMERICAN AMBASSADOR,CanonicalEntity,Person,American ambassador,dictionary; normalized_label,4.0,
CANONICAL_ENTITY:AMERICAN_CONSUL,AMERICAN CONSUL,CanonicalEntity,Person,American consul,normalized_label,2.0,
CANONICAL_ENTITY:AMERICAN_CONSULATE_GENERAL_IN_HONG_KONG,AMERICAN CONSULATE GENERAL IN HONG KONG,CanonicalEntity,Organization,American Consulate General in Hong Kong,normalized_label,1.0,
CANONICAL_ENTITY:AMERICAN_CONSUL_GENERAL_IN_SALISBURY,AMERICAN CONSUL GENERAL IN SALISBURY,CanonicalEntity,Person,American consul general in Salisbury,normalized_label,1.0,
CANONICAL_ENTITY:AMERICAN_EMBASSY,AMERICAN EMBASSY,CanonicalEntity,Organization,American Embassy,dictionary; normalized_label,7.0,
CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_LEOPOLDVILLE,AMERICAN EMBASSY IN LEOPOLDVILLE,CanonicalEntity,Organization,American Embassy in Leopoldville,normalized_label,1.0,
CANONICAL_ENTITY:ANDHRA_PRADESH,ANDHRA PRADESH,CanonicalEntity,Location,Andhra Pradesh,normalized_label,1.0,
CANONICAL_ENTITY:ANDRE_RENARD,ANDRE RENARD,CanonicalEntity,Person,Andre Renard,normalized_label,1.0,
CANONICAL_ENTITY:ANGLO_AMERICAN_CONSORTIUM,ANGLO-AMERICAN CONSORTIUM,CanonicalEntity,Organization,Anglo-American consortium,normalized_label,1.0,
CANONICAL_ENTITY:ANGLO_ITALIAN_NEGOTIATING_TEAM,ANGLO-ITALIAN NEGOTIATING TEAM,CanonicalEntity,Organization,Anglo-Italian negotiating team,normalized_label,1.0,
