doc_id,source_id,paragraph_id,subject,date,model,source,target,relation,evidence,confidence
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,ent_1,ent_0,AFFILIATION,President Gursel may select new cabinet members with view to increasing government's popularity in Turkey.,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,ent_4,ent_2,OPPOSITION,Syrian dissidents still plotting to overthrow UAR regime in Syria.,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,ent_3,ent_4,SUPPORT,"Syrian dissidents have again sought support, including weapons, from Jordan.",0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,ent_6,ent_5,CLAIM_TARGET,Souvanna Phouma... declared that he would formally step down as premier if the Boun Oum government were invested.,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,Ayub Khan,Pakistan,AFFILIATION,President of Pakistan,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,General Ne Win,Burma,AFFILIATION,Military leader in Burma,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,Premier Nu,Burma,AFFILIATION,Political leader in Burma,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,UAR,Republic of the Congo,SUPPORT,involved in military operations in the Congo,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,Jose Chiriboga,Ecuador,AFFILIATION,Ecuadorean Foreign Minister,0.7
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-05,gpt-4o-mini,ent_3,ent_2,EVENT_PARTICIPANT,the Kong Le/Pathet Lao forces have achieved a tactical capability of bringing substantial pressure against government forces,0.7
