doc_id,source_id,paragraph_id,subject,date,model,local_id,label,type,location,description,confidence,node_key
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-04,gpt-4o-mini,event_0,Cabinet Resignation in Turkey,Other,Turkey,Resignation of Turkey's 18-man cabinet.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::event_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-04,gpt-4o-mini,event_1,Approval of Boun Oum Government,Other,Laos,Formal approval of the Boun Oum government by parliamentary vote.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::event_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,1961-01-04,gpt-4o-mini,event_2,Airlift Flights into Laos,Other,Laos,Continued airlift flights into Laos with Soviet aircraft.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::event_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p0,CENTRAL INTELLIGENCE BULLETIN,unknown,gpt-4o-mini,event_3,Support Request from Syrian Dissidents,Other,Syria,Syrian dissidents plotting to overthrow the UAR regime sought support from Jordan.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p0::event_3
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,February 1961,gpt-4o-mini,event_0,Political Pressure in Burma,Other,Burma,General Ne Win is under pressure to resume control of the government.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::event_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,1 January 1961,gpt-4o-mini,event_1,IL-14 Aircraft Landing,Other,"Gemena, Congo",An aircraft landed carrying supplies and personnel for the UAR battalion.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::event_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,6-8 January 1961,gpt-4o-mini,event_2,Algerian Referendum,Other,Algeria,Referendum on Algerian policy causing military disapproval.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::event_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p1,CENTRAL INTELLIGENCE BULLETIN,January 1961,gpt-4o-mini,event_3,Discussion on Commercial Visits,Communication,Ecuador,Jose Chiriboga discussed future commercial visits with the Russian ambassador.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p1::event_3
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-04,gpt-4o-mini,event_0,Resignation of Turkish Cabinet,Other,Turkey,"The resignation of Turkey's 18-man cabinet, preliminary to the convocation of a new Constituent Assembly.",0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::event_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,1961-01-06,gpt-4o-mini,event_1,Convocation of Constituent Assembly,Other,Turkey,The planned convocation of the new Constituent Assembly following the cabinet resignation.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::event_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p2,CENTRAL INTELLIGENCE BULLETIN,,gpt-4o-mini,event_2,Military Pressure in Laos,MilitaryAction,Laos,The Kong Le/Pathet Lao forces applying military pressure against government forces.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p2::event_2
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p3,CENTRAL INTELLIGENCE BULLETIN,1961-01-04,gpt-4o-mini,event_0,Cabinet Resignation,PolicyAction,Turkey,The cabinet submitted its resignation to allow the President full freedom of action.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p3::event_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p3,CENTRAL INTELLIGENCE BULLETIN,,gpt-4o-mini,event_1,Meeting of the Constituent Assembly,Meeting,Turkey,Preparations continue for the meeting of the Constituent Assembly with selected prominent figures.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p3::event_1
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p4,CENTRAL INTELLIGENCE BULLETIN,early November,gpt-4o-mini,event_0,Ayub's visit to Cairo,Travel,Cairo,Ayub visited Cairo and spoke to newsmen about nonalignment.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p4::event_0
2000168_CIA-RDP79T00975A005500040001-6,CIA-RDP79T00975A005500040001-6,p4,CENTRAL INTELLIGENCE BULLETIN,mid-December,gpt-4o-mini,event_1,Ayub's visit to Tokyo,Travel,Tokyo,Ayub told reporters that Pakistan was ready to send troops to Laos.,0.7,2000168_CIA-RDP79T00975A005500040001-6::p4::event_1
