node_key,degree
CANONICAL_ENTITY:100_FLOWERS,1
CANONICAL_ENTITY:MAO_TSE_TUNG,216
CANONICAL_ENTITY:10TH_AIR_ARMY,37
CANONICAL_ENTITY:5TH_FLEET_AIR_FORCE,6
CANONICAL_ENTITY:7TH_FLEET,14
CANONICAL_ENTITY:9TH_AIR_ARMY,22
CANONICAL_ENTITY:AMERICAN_EMBASSY,2504
CANONICAL_ENTITY:BURMESE,83
CANONICAL_ENTITY:CHINESE_AIR_FORCES,4
CANONICAL_ENTITY:CHINESE_NATIONALISTS,446
CANONICAL_ENTITY:CHOU_EN_LAI,825
CANONICAL_ENTITY:CHUKOTSK_PENINSULA,12
CANONICAL_ENTITY:CZECHOSLOVAKIA,1030
CANONICAL_ENTITY:DEPUTY_MINISTER_OF_FOREIGN_AFFAIRS_OF_MONGOLIA,7
CANONICAL_ENTITY:FRANCE,1983
CANONICAL_ENTITY:FRENCH_COMMUNIST_PARTY,197
CANONICAL_ENTITY:FRENCH_FOREIGN_MINISTRY,328
CANONICAL_ENTITY:GENERAL_CLAIRE_CHENNAULT,5
CANONICAL_ENTITY:GREEK_ARMY,20
CANONICAL_ENTITY:INDIAN_AMBASSADOR,117
CANONICAL_ENTITY:KHABAROVSK,12
CANONICAL_ENTITY:KOREAN_CONFLICT,4
CANONICAL_ENTITY:KURIL_ISLANDS,5
CANONICAL_ENTITY:LIBYA,338
CANONICAL_ENTITY:MAJLIS,115
CANONICAL_ENTITY:MARITIME_PROVINCE,4
CANONICAL_ENTITY:MIKOYAN,204
CANONICAL_ENTITY:MONGOLIAN_PRIME_MINISTER,4
CANONICAL_ENTITY:NORTH_KOREAN_AIR_FORCES,4
CANONICAL_ENTITY:PEIPING,1391
CANONICAL_ENTITY:PRAVDA,258
CANONICAL_ENTITY:SAKHALIN,10
CANONICAL_ENTITY:SOVIET_AIR_ARMIES,4
EVENT_CLUSTER:1,11865
EVENT_CLUSTER:520,17
EVENT_CLUSTER:521,17
EVENT_CLUSTER:522,17
EVENT_CLUSTER:703,55
EVENT_CLUSTER:71,73
CANONICAL_ENTITY:10TH_AIR_DIVISION,6
CANONICAL_ENTITY:BRITISH_GOVERNMENT,639
CANONICAL_ENTITY:CHOU,150
CANONICAL_ENTITY:HONG_KONG,128
CANONICAL_ENTITY:TAIWAN_STRAIT,89
CANONICAL_ENTITY:10TH_ARTILLERY_DIVISION,9
CANONICAL_ENTITY:13TH_ARMY,7
CANONICAL_ENTITY:CHINESE_COMMUNIST_19TH_ARMY,5
CANONICAL_ENTITY:CHINESE_COMMUNIST_53RD_ARMY,3
CANONICAL_ENTITY:CHINESE_NATIONALIST_DEFENSE_MINISTRY,43
CANONICAL_ENTITY:DIEN_BIEN_PHU,161
CANONICAL_ENTITY:FRENCH_AIR_FORCE,25
CANONICAL_ENTITY:GENERAL_PARTRIDGE,3
CANONICAL_ENTITY:VIET_MINH,993
CANONICAL_ENTITY:10_MARK_VI_HUNTER_FIGHTER_AIRCRAFT,1
CANONICAL_ENTITY:IRAQ,1087
CANONICAL_ENTITY:11TH_ARMORED_INFANTRY_BRIGADE,20
CANONICAL_ENTITY:ALBANIA,547
CANONICAL_ENTITY:ALEXANDRIA,185
CANONICAL_ENTITY:AMERICAN_ARMY_ATTACH,277
CANONICAL_ENTITY:ARAB_LEGION,175
CANONICAL_ENTITY:CAMP_SARAFAND,1
CANONICAL_ENTITY:CHINESE_COMMUNISTS,591
CANONICAL_ENTITY:EGYPT,2405
CANONICAL_ENTITY:EGYPTIAN_MILITARY,49
CANONICAL_ENTITY:FOOCHOW,47
CANONICAL_ENTITY:GENERAL_GLUBB,41
CANONICAL_ENTITY:ISRAEL,1381
CANONICAL_ENTITY:ISRAELI_MILITARY,18
CANONICAL_ENTITY:ISTANBUL,42
CANONICAL_ENTITY:KING_SAUD,487
CANONICAL_ENTITY:MIXED_ARMISTICE_COMMISSION,36
CANONICAL_ENTITY:PRESIDENT_CHAMOUN,152
EVENT_CLUSTER:1519,51
EVENT_CLUSTER:2678,13
EVENT_CLUSTER:3120,6
CANONICAL_ENTITY:11TH_ARMY,14
CANONICAL_ENTITY:2ND_FIELD_ARMY,5
CANONICAL_ENTITY:AMBASSADOR_LODGE,149
CANONICAL_ENTITY:CENTRAL_INTELLIGENCE_AGENCY,604
CANONICAL_ENTITY:ECONOMIC_COMMISSION_FOR_EUROPE,28
CANONICAL_ENTITY:GENEVA,140
CANONICAL_ENTITY:NAGIB_REGIME,30
CANONICAL_ENTITY:OFFICE_OF_CURRENT_INTELLIGENCE,44
EVENT_CLUSTER:1244,18
EVENT_CLUSTER:1245,18
CANONICAL_ENTITY:11_MAY_ELECTION,1
CANONICAL_ENTITY:PANAMA,229
CANONICAL_ENTITY:11_MEMBER_EXECUTIVE_COUNCIL,12
CANONICAL_ENTITY:DJAKARTA,571
CANONICAL_ENTITY:GENERAL_NASUTION,226
CANONICAL_ENTITY:HAITI,124
CANONICAL_ENTITY:JAPAN,1120
CANONICAL_ENTITY:LT_COL_HUSSEIN,35
CANONICAL_ENTITY:PRIME_MINISTER_DJUANDA,25
CANONICAL_ENTITY:SOCIALISTS,181
CANONICAL_ENTITY:SUKARNO,736
