level3_id,size,top_labels,top_types,display_label
0,2,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; 35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV,"{""LEVEL2_COMMUNITY"": 2}",10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; 35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV
1,1,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,"{""LEVEL2_COMMUNITY"": 1}",DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT
2,1,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,"{""LEVEL2_COMMUNITY"": 1}",ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER
3,1,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,"{""LEVEL2_COMMUNITY"": 1}",BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY
4,1,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,"{""LEVEL2_COMMUNITY"": 1}",AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG
5,1,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,"{""LEVEL2_COMMUNITY"": 1}",COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI
6,1,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,"{""LEVEL2_COMMUNITY"": 1}",BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE
7,1,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,"{""LEVEL2_COMMUNITY"": 1}",CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS
8,1,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,"{""LEVEL2_COMMUNITY"": 1}",ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS
9,1,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech","{""LEVEL2_COMMUNITY"": 1}","KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech"
