level1_id,size,top_labels,top_types,display_label
0,9084,"10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; 13TH AIR DIVISION; 13TH OF MARCH REVOLUTIONARY DIRECTORATE; 140TH DIVISION, 47TH ARMY; 14TH ARMY; 14TH OF MAY MOVEMENT; 18TH DIVISION; 1ST NAVAL AIR DIVISION; 20TH ARMY; 24TH AIR ARMY; 27TH ARMY; 2ND ARMY GROUP","{""CanonicalEntity"": 6077, ""EventCluster"": 3007}",10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY
1,2470,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; ABDUL AZIZ CHOUCHANE; ABD AL-KARIM; ACHILLES; ACTING CHIEF OF STAFF LUBIS; ADENAUER; ADENAUER COALITION; ADENAUER GOVERNMENT; ADMIRAL DOYLE; ADMIRAL FECHTELER; ADMIRAL MCCORMICK; ADMIRAL MOUNTBATTEN,"{""CanonicalEntity"": 1551, ""EventCluster"": 919}",35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT
2,1232,"11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 3,700 WORKERS; ABDON PARRA; ABD AL-WAHHAB MIRJAN; ACCION DEMOCRATICA; ADENAUER SUPPORTERS; ADLAI STEVENSON; ADMIRAL WOLFGANG LARRAZABAL; ADOLFO LOPEZ MATEOS; ADU; AFRICAN POLITICAL PARTY; AFRICA FREEDOM DAY","{""CanonicalEntity"": 835, ""EventCluster"": 397}",11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION
3,848,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 7TH DIVISION; 7 OPPOSITION POLITICAL PARTIES; ACADEMY OF ARTILLERY SCIENCES; ACTING PRIME MINISTER QUAT; ACTION GROUP; ADMIRAL CARNEY; AFGHAN ARMY; AFRO-ASIAN COUNTRIES; AIR CHIEF MARSHAL CHALERMKIAT; AIR FORCE COMMANDER; ALLIANCE PARTY,"{""CanonicalEntity"": 506, ""EventCluster"": 342}",1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION
4,711,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ACHDUT HAAVODA; ACTING GOVERNOR GENERAL MIRZA; ADEN PROTECTORATE FEDERATION; ADJEI; ADMIRAL BURKE; AF OF L; AGRARIAN INSTITUTE; AGUDAT; AIR MINISTER KRAUSE; ALSOGARAY; AMBASSADOR BISHOP,"{""CanonicalEntity"": 443, ""EventCluster"": 268}",14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV
5,501,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; AHMAD HUSAYN; AHMAD MURTADA AL-MARAGHI BEY; AHMED HUSSEIN PASHA; ALBANIAN COURTS; ALBANIAN EXILE GROUP; ALBANIAN POLICE; ALEXANDRETTA; ALEXANDRIA UNIVERSITY; ALI MAHER; AL KHOURI; AL URABI,"{""CanonicalEntity"": 310, ""EventCluster"": 191}",ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA
6,363,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); ALBERTO FRANCO NOGUEIRA; ALFONS GORBACH; ALFREDO RODRIGUES DOS SANTOS; AMERICAN EMBASSY IN RIO DE JANEIRO; AMILCAR CABRAL; ANGLO-AMERICAN CONSORTIUM; ANGLO-EGYPTIAN CRISIS; ANGOLA; ANGOLAN NATIONALISTS; ANGOLAN PEOPLES UNION (UPA); ARAB HIGHER COMMITTEE,"{""CanonicalEntity"": 229, ""EventCluster"": 134}",ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN)
7,294,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; ALBANIAN PEOPLES ASSEMBLY; ALEXEJ CEPICKA; AMERICAN COMPANIES; AMERICAN EMBASSY IN OTTAWA; AMERICAN JOINT DISTRIBUTION COMMITTEE; AMERICAN LEGATION; ANA KETHELY; ANTONIN NOVOTNY; ARCHBISHOP GROESZ; ARCHBISHOP GROSZ; AUSTRIAN SOCIALISTS,"{""CanonicalEntity"": 197, ""EventCluster"": 97}",67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL
8,286,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; AHMED FRANCIS; AIR MINISTER FLEUISS; ALEKSANDR DOMRACHEV; ALGERIAN COMMUNIST PARTY; ALGERIAN NATIONAL LIBERATION ARMY; ALL-UNION PARTY PRESIDIUM; AMBASSADOR CABOT; AMBASSADOR GROSS; AMERICAN AIR ATTACHE; AMERICAN AND FOREIGN POWER COMPANY; AMERICAN NAVAL ATTACHÉ","{""CanonicalEntity"": 191, ""EventCluster"": 95}","20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY"
9,279,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ADRIEN OMARI; AFL/CIO; ALBANIAN REAR ADMIRAL SEJKO; ALCIBIADES AROSEMENA; ALVAREZ PLATA; ANACONDA AND BRADEN MINES; ARAB MINISTERIAL CONFERENCE; ASRATE KASSA; AUTHENTIC MNR; BANAT YACOV; BASHI TRIBE,"{""CanonicalEntity"": 189, ""EventCluster"": 90}",26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU
