node_key,label,node_type,member_count,top_labels
LEVEL2_COMMUNITY:0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY,LEVEL2_COMMUNITY,43,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH
LEVEL2_COMMUNITY:1,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV,LEVEL2_COMMUNITY,15,"35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); 67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; 20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; 26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ"
LEVEL2_COMMUNITY:2,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,LEVEL2_COMMUNITY,1,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT
LEVEL2_COMMUNITY:3,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,LEVEL2_COMMUNITY,1,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER
LEVEL2_COMMUNITY:4,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,LEVEL2_COMMUNITY,1,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY
LEVEL2_COMMUNITY:5,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,LEVEL2_COMMUNITY,1,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG
LEVEL2_COMMUNITY:6,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,LEVEL2_COMMUNITY,1,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI
LEVEL2_COMMUNITY:7,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,LEVEL2_COMMUNITY,1,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE
LEVEL2_COMMUNITY:8,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,LEVEL2_COMMUNITY,1,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS
LEVEL2_COMMUNITY:9,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,LEVEL2_COMMUNITY,1,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS
