node_key,label,node_type,source_type,example_mention,canonicalization_source,mention_count,source
CANONICAL_ENTITY:10TH_AIR_ARMY,10TH AIR ARMY,CanonicalEntity,Military,10th Air Army,normalized_label,4.0,
CANONICAL_ENTITY:10TH_AIR_DIVISION,10TH AIR DIVISION,CanonicalEntity,Military,10th Air Division,normalized_label,1.0,
CANONICAL_ENTITY:10TH_ARTILLERY_DIVISION,10TH ARTILLERY DIVISION,CanonicalEntity,Military,10th Artillery Division,normalized_label,1.0,
CANONICAL_ENTITY:11TH_ARMORED_INFANTRY_BRIGADE,11TH ARMORED INFANTRY BRIGADE,CanonicalEntity,Military,11th Armored Infantry Brigade,normalized_label,2.0,
CANONICAL_ENTITY:11TH_ARMY,11TH ARMY,CanonicalEntity,Military,11th Army,normalized_label,1.0,
CANONICAL_ENTITY:11_MEMBER_EXECUTIVE_COUNCIL,11-MEMBER EXECUTIVE COUNCIL,CanonicalEntity,Organization,11-member executive council,normalized_label,1.0,
CANONICAL_ENTITY:12TH_ARMY,12TH ARMY,CanonicalEntity,Military,12th Army,normalized_label,1.0,
CANONICAL_ENTITY:12_NATION_COMMISSION,12-NATION COMMISSION,CanonicalEntity,Other,12-nation commission,normalized_label,1.0,
CANONICAL_ENTITY:13TH_AIR_DIVISION,13TH AIR DIVISION,CanonicalEntity,Military,13th Air Division,normalized_label,2.0,
CANONICAL_ENTITY:13TH_ARMY,13TH ARMY,CanonicalEntity,Military,13th Army,normalized_label,2.0,
CANONICAL_ENTITY:13TH_OF_MARCH_REVOLUTIONARY_DIRECTORATE,13TH OF MARCH REVOLUTIONARY DIRECTORATE,CanonicalEntity,PoliticalGroup,13th of March Revolutionary Directorate,normalized_label,1.0,
CANONICAL_ENTITY:140TH_DIVISION_47TH_ARMY,"140TH DIVISION, 47TH ARMY",CanonicalEntity,Military,"140th Division, 47th Army",normalized_label,1.0,
CANONICAL_ENTITY:14TH_ARMY,14TH ARMY,CanonicalEntity,Military,14th Army,normalized_label,1.0,
