community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary,community,display_label
0,COMMUNITY:0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY,"Military posture, security forces, and regime stability",9084,"10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; 13TH AIR DIVISION; 13TH OF MARCH REVOLUTIONARY DIRECTORATE; 140TH DIVISION, 47TH ARMY; 14TH ARMY; 14TH OF MAY MOVEMENT; 18TH DIVISION; 1ST NAVAL AIR DIVISION; 20TH ARMY; 24TH AIR ARMY; 27TH ARMY; 2ND ARMY GROUP","{""CanonicalEntity"": 6077, ""EventCluster"": 3007}","This group connects 9084 lower-level nodes around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; 13TH AIR DIVISION; 13TH OF MARCH REVOLUTIONARY DIRECTORATE; 140TH DIVISION, 47TH ARMY; 14TH ARMY.",0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY
1,COMMUNITY:1,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT,"Military posture, security forces, and regime stability",2470,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; ABDUL AZIZ CHOUCHANE; ABD AL-KARIM; ACHILLES; ACTING CHIEF OF STAFF LUBIS; ADENAUER; ADENAUER COALITION; ADENAUER GOVERNMENT; ADMIRAL DOYLE; ADMIRAL FECHTELER; ADMIRAL MCCORMICK; ADMIRAL MOUNTBATTEN,"{""CanonicalEntity"": 1551, ""EventCluster"": 919}",This group connects 2470 lower-level nodes around: 35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; ABDUL AZIZ CHOUCHANE; ABD AL-KARIM; ACHILLES; ACTING CHIEF OF STAFF LUBIS.,1,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT
2,COMMUNITY:2,11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION,Labor unrest and internal political pressure,1232,"11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 3,700 WORKERS; ABDON PARRA; ABD AL-WAHHAB MIRJAN; ACCION DEMOCRATICA; ADENAUER SUPPORTERS; ADLAI STEVENSON; ADMIRAL WOLFGANG LARRAZABAL; ADOLFO LOPEZ MATEOS; ADU; AFRICAN POLITICAL PARTY; AFRICA FREEDOM DAY","{""CanonicalEntity"": 835, ""EventCluster"": 397}","This group connects 1232 lower-level nodes around: 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 3,700 WORKERS; ABDON PARRA; ABD AL-WAHHAB MIRJAN; ACCION DEMOCRATICA.",2,11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION
3,COMMUNITY:3,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION,"Military posture, security forces, and regime stability",848,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 7TH DIVISION; 7 OPPOSITION POLITICAL PARTIES; ACADEMY OF ARTILLERY SCIENCES; ACTING PRIME MINISTER QUAT; ACTION GROUP; ADMIRAL CARNEY; AFGHAN ARMY; AFRO-ASIAN COUNTRIES; AIR CHIEF MARSHAL CHALERMKIAT; AIR FORCE COMMANDER; ALLIANCE PARTY,"{""CanonicalEntity"": 506, ""EventCluster"": 342}",This group connects 848 lower-level nodes around: 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 7TH DIVISION; 7 OPPOSITION POLITICAL PARTIES; ACADEMY OF ARTILLERY SCIENCES; ACTING PRIME MINISTER QUAT.,3,1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION
4,COMMUNITY:4,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV,711,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ACHDUT HAAVODA; ACTING GOVERNOR GENERAL MIRZA; ADEN PROTECTORATE FEDERATION; ADJEI; ADMIRAL BURKE; AF OF L; AGRARIAN INSTITUTE; AGUDAT; AIR MINISTER KRAUSE; ALSOGARAY; AMBASSADOR BISHOP,"{""CanonicalEntity"": 443, ""EventCluster"": 268}",This group connects 711 lower-level nodes around: 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ACHDUT HAAVODA; ACTING GOVERNOR GENERAL MIRZA; ADEN PROTECTORATE FEDERATION; ADJEI.,4,14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV
5,COMMUNITY:5,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA,501,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; AHMAD HUSAYN; AHMAD MURTADA AL-MARAGHI BEY; AHMED HUSSEIN PASHA; ALBANIAN COURTS; ALBANIAN EXILE GROUP; ALBANIAN POLICE; ALEXANDRETTA; ALEXANDRIA UNIVERSITY; ALI MAHER; AL KHOURI; AL URABI,"{""CanonicalEntity"": 310, ""EventCluster"": 191}",This group connects 501 lower-level nodes around: ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; AHMAD HUSAYN; AHMAD MURTADA AL-MARAGHI BEY; AHMED HUSSEIN PASHA; ALBANIAN COURTS.,5,ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA
6,COMMUNITY:6,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN),"U.S. reporting, diplomacy, and intelligence assessment",363,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); ALBERTO FRANCO NOGUEIRA; ALFONS GORBACH; ALFREDO RODRIGUES DOS SANTOS; AMERICAN EMBASSY IN RIO DE JANEIRO; AMILCAR CABRAL; ANGLO-AMERICAN CONSORTIUM; ANGLO-EGYPTIAN CRISIS; ANGOLA; ANGOLAN NATIONALISTS; ANGOLAN PEOPLES UNION (UPA); ARAB HIGHER COMMITTEE,"{""CanonicalEntity"": 229, ""EventCluster"": 134}",This group connects 363 lower-level nodes around: ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); ALBERTO FRANCO NOGUEIRA; ALFONS GORBACH; ALFREDO RODRIGUES DOS SANTOS; AMERICAN EMBASSY IN RIO DE JANEIRO.,6,ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN)
7,COMMUNITY:7,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL,"U.S. reporting, diplomacy, and intelligence assessment",294,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; ALBANIAN PEOPLES ASSEMBLY; ALEXEJ CEPICKA; AMERICAN COMPANIES; AMERICAN EMBASSY IN OTTAWA; AMERICAN JOINT DISTRIBUTION COMMITTEE; AMERICAN LEGATION; ANA KETHELY; ANTONIN NOVOTNY; ARCHBISHOP GROESZ; ARCHBISHOP GROSZ; AUSTRIAN SOCIALISTS,"{""CanonicalEntity"": 197, ""EventCluster"": 97}",This group connects 294 lower-level nodes around: 67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; ALBANIAN PEOPLES ASSEMBLY; ALEXEJ CEPICKA; AMERICAN COMPANIES; AMERICAN EMBASSY IN OTTAWA.,7,67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL
8,COMMUNITY:8,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY","Soviet policy, leadership, and bloc maneuvering",286,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; AHMED FRANCIS; AIR MINISTER FLEUISS; ALEKSANDR DOMRACHEV; ALGERIAN COMMUNIST PARTY; ALGERIAN NATIONAL LIBERATION ARMY; ALL-UNION PARTY PRESIDIUM; AMBASSADOR CABOT; AMBASSADOR GROSS; AMERICAN AIR ATTACHE; AMERICAN AND FOREIGN POWER COMPANY; AMERICAN NAVAL ATTACHÉ","{""CanonicalEntity"": 191, ""EventCluster"": 95}","This group connects 286 lower-level nodes around: 20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; AHMED FRANCIS; AIR MINISTER FLEUISS; ALEKSANDR DOMRACHEV; ALGERIAN COMMUNIST PARTY.",8,"20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY"
9,COMMUNITY:9,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU,279,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ADRIEN OMARI; AFL/CIO; ALBANIAN REAR ADMIRAL SEJKO; ALCIBIADES AROSEMENA; ALVAREZ PLATA; ANACONDA AND BRADEN MINES; ARAB MINISTERIAL CONFERENCE; ASRATE KASSA; AUTHENTIC MNR; BANAT YACOV; BASHI TRIBE,"{""CanonicalEntity"": 189, ""EventCluster"": 90}",This group connects 279 lower-level nodes around: 26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ADRIEN OMARI; AFL/CIO; ALBANIAN REAR ADMIRAL SEJKO; ALCIBIADES AROSEMENA.,9,26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU
10,COMMUNITY:10,ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ,Labor unrest and internal political pressure,254,ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ; ABD AL-QADIR ISMAIL BUSTANI; ADAMAFIO; AFRICANS; AFRICAN EXILE GROUPS; AFRICAN LABOR CONFERENCE; AFRICAN NATIONAL CONGRESS; AFRO-SHIRAZI PARTY; AFRO-SHIRAZI PARTY (ASP); AHIDJO; AHIDJO GOVERNMENT; AHIDJO REGIME,"{""CanonicalEntity"": 185, ""EventCluster"": 69}",This group connects 254 lower-level nodes around: ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ; ABD AL-QADIR ISMAIL BUSTANI; ADAMAFIO; AFRICANS; AFRICAN EXILE GROUPS.,10,ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ
