normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
USSR,USSR,1895,1149,Country; Government; Organization,USSR,False
SOVIET UNION,SOVIET UNION,1272,1000,Country; Government; Military,Soviet Union; SOVIET UNION,False
EGYPT,EGYPT,1084,756,Country; Location,Egypt,False
FRANCE,FRANCE,943,714,Country; Government,France,False
UNITED STATES,UNITED STATES,889,736,Country; Government,United States,False
PEIPING,PEIPING,777,587,Government; Location; Organization; Other,Peiping,False
KHRUSHCHEV,KHRUSHCHEV,694,431,Person,Khrushchev,False
ISRAEL,ISRAEL,692,515,Country; Location,Israel,False
COMMUNIST CHINA,COMMUNIST CHINA,622,499,Country; Government; Location; Organization,Communist China,False
INDIA,INDIA,605,477,Country; Location,India,False
IRAQ,IRAQ,564,395,Country; Location,Iraq,False
VIET MINH,VIET MINH,559,441,Military; PoliticalGroup,Viet Minh,False
UAR,UAR,557,284,Country; Government; Location; Military; Organization; Other; PoliticalGroup,UAR,False
LAOS,LAOS,541,361,Country; Location,Laos,False
JAPAN,JAPAN,540,404,Country; Location,Japan,False
TURKEY,TURKEY,535,400,Country; Location,Turkey,False
SYRIA,SYRIA,534,408,Country; Location,Syria,False
IRAN,IRAN,530,395,Country; Location,Iran,False
JORDAN,JORDAN,503,369,Country; Location,Jordan,False
INDONESIA,INDONESIA,487,345,Country; Government; Location,Indonesia,False
EAST GERMANY,EAST GERMANY,483,368,Country; Government; Location,East Germany,False
YUGOSLAVIA,YUGOSLAVIA,481,386,Country; Location,Yugoslavia,False
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,462,461,Government; Organization,National Security Agency,False
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,450,448,Government; Organization,Atomic Energy Commission,False
PAKISTAN,PAKISTAN,444,322,Country; Location,Pakistan,False
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,433,432,Government; Organization,Federal Bureau of Investigation,False
DIRECTOR,DIRECTOR,424,141,Other; Person,Director,False
PATHET LAO,PATHET LAO,391,275,Military; Other; PoliticalGroup,Pathet Lao,False
CUBA,CUBA,387,217,Country; Location,Cuba,False
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,382,381,Government; Organization,National Indications Center,False
CZECHOSLOVAKIA,CZECHOSLOVAKIA,382,302,Country; Government; Location,Czechoslovakia,False
BRITAIN,BRITAIN,374,324,Country,Britain,False
WEST GERMANY,WEST GERMANY,370,289,Country; Government; Location,West Germany,False
POLAND,POLAND,361,279,Country; Government; Location,Poland,False
MOSCOW,MOSCOW,359,303,Government; Location,Moscow,False
SAUDI ARABIA,SAUDI ARABIA,359,281,Country,Saudi Arabia,False
NEHRU,NEHRU,356,271,Person,Nehru,False
BURMA,BURMA,354,295,Country; Location,Burma,False
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,339,339,Government; Organization,Department of Defense,False
SOUTH KOREA,SOUTH KOREA,318,234,Country,South Korea,False
AMERICAN EMBASSY,AMERICAN EMBASSY,315,294,Location; Organization; Other,American Embassy; American embassy,False
CAIRO,CAIRO,306,266,Location,Cairo,False
CHINA,CHINA,299,275,Country,China,False
CHOU EN-LAI,CHOU EN-LAI,297,251,Person,Chou En-lai; Chou En-Lai,False
ITALY,ITALY,297,246,Country; Location,Italy,False
SOUVANNA PHOUMA,SOUVANNA PHOUMA,278,201,Person; PoliticalGroup,Souvanna Phouma,False
NATO,NATO,271,237,Military; Organization; PoliticalGroup,NATO,False
SUKARNO,SUKARNO,268,213,Government; Person,Sukarno,False
MOROCCO,MOROCCO,258,186,Country; Location,Morocco,False
GREECE,GREECE,251,214,Country,Greece,False
ADENAUER,ADENAUER,250,191,Person,Adenauer,False
DE GAULLE,DE GAULLE,247,142,Person,De Gaulle; de Gaulle,False
ALGERIA,ALGERIA,244,181,Country; Location,Algeria; ALGERIA,False
HAMMARSKJOLD,HAMMARSKJOLD,231,177,Other; Person,Hammarskjold,False
DEPARTMENT OF STATE,DEPARTMENT OF STATE,221,221,Government; Organization,Department of State,False
CONGO,CONGO,218,148,Country; Location,Congo,False
DJAKARTA,DJAKARTA,215,182,Government; Location,Djakarta,False
THAILAND,THAILAND,214,183,Country; Location,Thailand,False
NASIR,NASIR,214,140,Person,Nasir,False
AFGHANISTAN,AFGHANISTAN,211,160,Country,Afghanistan; AFGHANISTAN,False
NORTH VIETNAM,NORTH VIETNAM,211,149,Country; Government; Location,North Vietnam; north Vietnam,False
EXECUTIVE OFFICES OF THE WHITE HOUSE,EXECUTIVE OFFICES OF THE WHITE HOUSE,210,210,Organization,Executive Offices of the White House,False
CHANCELLOR ADENAUER,ADENAUER,207,200,Person,Chancellor Adenauer,True
FRENCH GOVERNMENT,FRENCH GOVERNMENT,198,185,Government; Organization,French Government; French government,False
HUNGARY,HUNGARY,196,161,Country; Location,Hungary,False
ARGENTINA,ARGENTINA,196,146,Country; Location,Argentina,False
UNITED STATES INFORMATION AGENCY,UNITED STATES INFORMATION AGENCY,192,191,Government; Organization,United States Information Agency,False
MOSSADEQ,MOSSADEQ,192,163,Person,Mossadeq,False
LEBANON,LEBANON,189,142,Country; Location,Lebanon,False
TUNISIA,TUNISIA,188,136,Country; Location,Tunisia; TUNISIA,False
SHAH,SHAH,185,149,Person,Shah; shah,False
CEYLON,CEYLON,184,125,Country; Location,Ceylon,False
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE,182,182,Other; Person,Secretary of Defense,False
TITO,TITO,180,153,Person,Tito,False
UN,UN,178,156,Organization,UN,False
KING SAUD,KING SAUD,178,136,Person,King Saud,False
BRAZIL,BRAZIL,176,113,Country; Location,Brazil,False
DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,175,175,Government; Organization,Department of Commerce,False
THE PRESIDENT,THE PRESIDENT,175,175,Government; Other; Person,The President; THE PRESIDENT,False
US,UNITED STATES,175,160,Country; Government,US,True
VIENTIANE,VIENTIANE,175,133,Location,Vientiane,False
THE VICE PRESIDENT,THE VICE PRESIDENT,174,174,Government; Other; Person,The Vice President,False
SOUTH VIETNAM,SOUTH VIETNAM,173,124,Country; Location,South Vietnam,False
CENTRAL INTELLIGENCE AGENCY,CENTRAL INTELLIGENCE AGENCY,172,172,Organization,Central Intelligence Agency; CENTRAL INTELLIGENCE AGENCY,False
UNITED NATIONS,UNITED NATIONS,169,161,Organization,United Nations,False
NORTH KOREA,NORTH KOREA,169,139,Country; Location,North Korea,False
CHINESE COMMUNISTS,CHINESE COMMUNISTS,166,157,Country; Military; Organization; PoliticalGroup,Chinese Communists,False
NASR,NASR,164,146,Person,Nasr,False
VENEZUELA,VENEZUELA,162,111,Country; Location,Venezuela,False
BELGIUM,BELGIUM,161,124,Country; Location,Belgium,False
GUATEMALA,GUATEMALA,159,108,Country; Location,Guatemala,False
CAMBODIA,CAMBODIA,158,120,Country; Location,Cambodia,False
AUSTRIA,AUSTRIA,155,119,Country; Location,Austria,False
COMMUNISTS,COMMUNISTS,153,146,Military; PoliticalGroup,Communists,False
SUDAN,SUDAN,152,125,Country; Location,Sudan,False
COMMUNIST PARTY,COMMUNIST PARTY,150,139,Organization; PoliticalGroup,Communist Party; Communist party,False
BONN,BONN,148,126,Government; Location; Other,Bonn,False
GENERAL PHOUMI,GENERAL PHOUMI,148,109,Military; Person,General Phoumi,False
LIBYA,LIBYA,143,114,Country; Location,Libya,False
CHAIRMAN,CHAIRMAN,140,140,Other; Person,Chairman,False
BRITISH FOREIGN OFFICE,BRITISH FOREIGN OFFICE,140,130,Government; Organization,British Foreign Office,False
"SUPREME ALLIED COMMANDER, EUROPE","SUPREME ALLIED COMMANDER, EUROPE",138,138,Military; Other; Person,"Supreme Allied Commander, Europe",False
"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE","ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE",137,137,Other; Person,"Assistant Chief of Staff, Intelligence, Department of the Air Force",False
"CHAIRMAN, THE JOINT CHIEFS OF STAFF","CHAIRMAN, THE JOINT CHIEFS OF STAFF",137,137,Other; Person,"Chairman, The Joint Chiefs of Staff",False
"CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY",137,137,Other; Person,"Chief of Naval Operations, United States Navy",False
"CHIEF OF STAFF, UNITED STATES AIR FORCE","CHIEF OF STAFF, UNITED STATES AIR FORCE",137,137,Other; Person,"Chief of Staff, United States Air Force",False
"CHIEF OF STAFF, UNITED STATES ARMY","CHIEF OF STAFF, UNITED STATES ARMY",137,137,Other; Person,"Chief of Staff, United States Army",False
"COMMANDANT, UNITED STATES MARINE CORPS","COMMANDANT, UNITED STATES MARINE CORPS",137,137,Other; Person,"Commandant, United States Marine Corps",False
DEPUTY SECRETARY OF DEFENSE,DEPUTY SECRETARY OF DEFENSE,137,137,Other; Person,Deputy Secretary of Defense,False
"DIRECTOR, THE JOINT STAFF","DIRECTOR, THE JOINT STAFF",137,137,Other; Person,"Director, The Joint Staff",False
SECRETARY OF THE AIR FORCE,SECRETARY OF THE AIR FORCE,137,137,Other; Person,Secretary of the Air Force,False
SECRETARY OF THE ARMY,SECRETARY OF THE ARMY,137,137,Other; Person,Secretary of the Army,False
SECRETARY OF THE NAVY,SECRETARY OF THE NAVY,137,137,Other; Person,Secretary of the Navy,False
GUINEA,GUINEA,137,89,Country; Location,Guinea,False
LUMUMBA,LUMUMBA,137,89,Person,Lumumba,False
"COMMANDER IN CHIEF, PACIFIC","COMMANDER IN CHIEF, PACIFIC",136,136,Military; Other; Person,"Commander in Chief, Pacific",False
YEMEN,YEMEN,134,98,Country; Location,Yemen,False
GIZENGA,GIZENGA,133,81,Person; PoliticalGroup,Gizenga,False
BRITISH GOVERNMENT,BRITISH GOVERNMENT,132,125,Government; Organization,British Government; British government,False
HANOI,HANOI,131,117,Location,Hanoi,False
RHEE,RHEE,128,114,Person,Rhee,False
"DIRECTOR FOR INTELLIGENCE, THE JOINT STAFF","DIRECTOR, THE JOINT STAFF",127,127,Other; Person,"Director for Intelligence, The Joint Staff",True
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,127,70,Country,Dominican Republic,False
CHINESE NATIONALISTS,CHINESE NATIONALISTS,124,115,Military; PoliticalGroup,Chinese Nationalists,False
SECRETARY OF COMMERCE,SECRETARY OF COMMERCE,121,121,Other; Person,Secretary of Commerce,False
CYPRUS,CYPRUS,120,101,Country; Location,Cyprus,False
CENTRAL INTELLIGENCE BULLETIN,CENTRAL INTELLIGENCE BULLETIN,119,118,Document,CENTRAL INTELLIGENCE BULLETIN; Central Intelligence Bulletin,False
GROMYKO,GROMYKO,119,86,Person,Gromyko,False
BRITISH,BRITISH,117,113,Country; Government; Military; Organization; Other; PoliticalGroup,British,False
"ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY","ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",116,116,Other; Person,"Assistant Chief of Staff for Intelligence, Department of Army",False
"DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF NAVY","DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF NAVY",116,116,Other; Person,"Director of Naval Intelligence, Department of Navy",False
WEST BERLIN,WEST BERLIN,115,97,Location,West Berlin,False
GHANA,GHANA,115,79,Country,Ghana,False
MENDES-FRANCE,MENDES-FRANCE,113,92,Person; PoliticalGroup,Mendes-France,False
QASIM,QASIM,113,78,Person,Qasim,False
RUMANIA,RUMANIA,112,100,Country; Location,Rumania,False
THE TREASURY DEPARTMENT,THE TREASURY DEPARTMENT,111,111,Government; Organization,The Treasury Department,False
THE DEPARTMENT OF STATE,DEPARTMENT OF STATE,110,110,Government; Organization,The Department of State,True
CHIANG KAI-SHEK,CHIANG KAI-SHEK,110,93,Person,Chiang Kai-shek; Chiang Kai-Shek,False
BOLIVIA,BOLIVIA,107,65,Country,Bolivia,False
ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,106,106,Other; Person,Assistant to Secretary of Defense for Special Operations,False
BULGANIN,BULGANIN,106,92,Person,Bulganin,False
