normalized_label,canonical_label_current,mention_count,unique_docs,unique_paragraphs,source_types,primary_type,example_mentions,example_descriptions,top_co_mentions,context_text,in_alias_dictionary
USSR,USSR,103,41,102,Country; Government,Country,USSR,"Former country, now Russia and other states; Soviet Union, involved in international relations and party congress.; The country with which the Dominican Republic desires to re-establish diplomatic relations.; Gained prestige for pro-Lumumba position; Country with which Nigeria sought to establish diplomatic relations; Accused of carrying military personnel to Pathet Lao forces.; Country involved in airlift support; Country endorsing a proposal for a conference on Laos.",LAOS; COMMUNIST CHINA; PEIPING; KHRUSHCHEV; CONGO; PATHET LAO; SOUVANNA PHOUMA; UAR; NORTH VIETNAM; CUBA; EAST GERMANY; UNITED STATES,"USSR || Country Government || LAOS COMMUNIST CHINA PEIPING KHRUSHCHEV CONGO PATHET LAO SOUVANNA PHOUMA UAR NORTH VIETNAM CUBA || Former country, now Russia and other states Soviet Union, involved in international relations and party congress. The country with which the Dominican Republic desires to re-establish diplomatic relations. Gained prestige for pro-Lumumba position Country with which Nigeria sought to establish diplomatic relations Accused of carrying military personnel to Pathet Lao forces.",False
LAOS,LAOS,72,40,72,Country; Location,Country,Laos,Country in Southeast Asia; Location mentioned in the context of the situation.; Southeast Asian country experiencing military conflict.; Country experiencing conflict involving Kong Le and Pathet Lao forces; Location where Communist airlift activities are occurring.; Southeast Asian country involved in the conflict; Country mentioned in the context of the situation; Southeast Asian country involved in military actions.,PATHET LAO; SOUVANNA PHOUMA; USSR; NORTH VIETNAM; CONGO; SOVIET UNION; GENERAL PHOUMI; COMMUNIST CHINA; FRANCE; GIZENGA; KING SAVANG; KHRUSHCHEV,LAOS || Country Location || PATHET LAO SOUVANNA PHOUMA USSR NORTH VIETNAM CONGO SOVIET UNION GENERAL PHOUMI COMMUNIST CHINA FRANCE GIZENGA || Country in Southeast Asia Location mentioned in the context of the situation. Southeast Asian country experiencing military conflict. Country experiencing conflict involving Kong Le and Pathet Lao forces Location where Communist airlift activities are occurring. Southeast Asian country involved in the conflict,False
CONGO,CONGO,52,35,52,Country; Location,Country,Congo,Location mentioned in the context of the situation.; The country where the events involving Gizenga dissidents and Mobutu regime are taking place.; Country experiencing unrest and mutiny; Country mentioned in the context of the situation in Katanga Province.; Country in Central Africa where Lumumbist forces are active.; Country where the described events are taking place.; Country where dissident leader Gizenga is active.; Mentioned as a site of 'colonial' areas of interest.,GIZENGA; LAOS; USSR; UN; KASAVUBU; HAMMARSKJOLD; LEOPOLDVILLE; LUMUMBA; TSHOMBE; MOBUTU; SOUVANNA PHOUMA; FRANCE,CONGO || Country Location || GIZENGA LAOS USSR UN KASAVUBU HAMMARSKJOLD LEOPOLDVILLE LUMUMBA TSHOMBE MOBUTU || Location mentioned in the context of the situation. The country where the events involving Gizenga dissidents and Mobutu regime are taking place. Country experiencing unrest and mutiny Country mentioned in the context of the situation in Katanga Province. Country in Central Africa where Lumumbist forces are active. Country where the described events are taking place.,False
SOVIET UNION,SOVIET UNION,50,30,50,Country; Government,Country,Soviet Union,"Country involved in airlift flights into Laos.; Former socialist state, now Russia and other countries; Country providing military support in the region; Country with which the Dominican Republic seeks to re-establish diplomatic relations.; The country providing military support through airlift operations in Laos.; Country involved in providing aircraft to Guinea.; Country providing assistance to Guinea.; Country involved in military transport operations.",LAOS; NORTH VIETNAM; COMMUNIST CHINA; PEIPING; PATHET LAO; CONGO; UAR; GENERAL PHOUMI; USSR; KHRUSHCHEV; SOUVANNA PHOUMA; CZECHOSLOVAKIA,"SOVIET UNION || Country Government || LAOS NORTH VIETNAM COMMUNIST CHINA PEIPING PATHET LAO CONGO UAR GENERAL PHOUMI USSR KHRUSHCHEV || Country involved in airlift flights into Laos. Former socialist state, now Russia and other countries Country providing military support in the region Country with which the Dominican Republic seeks to re-establish diplomatic relations. The country providing military support through airlift operations in Laos. Country involved in providing aircraft to Guinea.",False
GIZENGA,GIZENGA,48,30,48,Person; PoliticalGroup,Person,Gizenga,The dissident group in eastern Congo.; Leader of the dissidents proclaiming a new Lualaba state.; Leader of the dissidents in the Congo; Requesting arms and supplies to consolidate control in Congo provinces.; Leader of the opposing forces in the Congo; Dissident leader in Congo ordering military equipment shipments.; Loyalty reference in the context of the provincial government.; Accused others of planning to overthrow his government.,CONGO; MOBUTU; LUMUMBA; TSHOMBE; HAMMARSKJOLD; BELGIUM; KASAVUBU; LAOS; TSHOMBÉ; UN; UAR; STANLEYVILLE,GIZENGA || Person PoliticalGroup || CONGO MOBUTU LUMUMBA TSHOMBE HAMMARSKJOLD BELGIUM KASAVUBU LAOS TSHOMBÉ UN || The dissident group in eastern Congo. Leader of the dissidents proclaiming a new Lualaba state. Leader of the dissidents in the Congo Requesting arms and supplies to consolidate control in Congo provinces. Leader of the opposing forces in the Congo Dissident leader in Congo ordering military equipment shipments.,False
COMMUNIST CHINA,COMMUNIST CHINA,48,29,48,Country; Government,Country,Communist China,Country experiencing food shortages and popular discontent.; Country experiencing discontent due to food shortages.; A country in East Asia governed by the Communist Party.; Country undergoing economic revisions; Country endorsing Prince Sihanouk's proposal.; Country endorsing a proposal for a conference on Laos.; Country sending letters to the Geneva Conference cochairmen.; Country involved in talks with Pakistan regarding a boundary agreement.,USSR; LAOS; SOVIET UNION; PEIPING; NORTH VIETNAM; SOUVANNA PHOUMA; CHEN YI; GENERAL PHOUMI; BURMA; LAOTIAN GOVERNMENT; GIZENGA; MOBUTU,COMMUNIST CHINA || Country Government || USSR LAOS SOVIET UNION PEIPING NORTH VIETNAM SOUVANNA PHOUMA CHEN YI GENERAL PHOUMI BURMA LAOTIAN GOVERNMENT || Country experiencing food shortages and popular discontent. Country experiencing discontent due to food shortages. A country in East Asia governed by the Communist Party. Country undergoing economic revisions Country endorsing Prince Sihanouk's proposal. Country endorsing a proposal for a conference on Laos.,False
PATHET LAO,PATHET LAO,48,29,48,Military; PoliticalGroup,PoliticalGroup,Pathet Lao,Forces retaining initiative in Laos; A political group involved in the Laotian conflict.; A political group involved in the conflict.; Communist political movement in Laos; Communist political movement in Laos.; A political and military group exerting pressure against the Laotian government.; Communist political group in Laos.; Forces gaining control in Laos.,LAOS; SOUVANNA PHOUMA; GENERAL PHOUMI; USSR; NORTH VIETNAM; LUANG PRABANG; KING SAVANG; SOVIET UNION; PHOUMI; VIENTIANE; PEIPING; CONGO,PATHET LAO || Military PoliticalGroup || LAOS SOUVANNA PHOUMA GENERAL PHOUMI USSR NORTH VIETNAM LUANG PRABANG KING SAVANG SOVIET UNION PHOUMI VIENTIANE || Forces retaining initiative in Laos A political group involved in the Laotian conflict. A political group involved in the conflict. Communist political movement in Laos Communist political movement in Laos. A political and military group exerting pressure against the Laotian government.,False
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,46,46,46,Organization,Organization,National Security Agency,A national-level intelligence agency of the United States.; U.S. government agency responsible for signal intelligence.; A U.S. government agency responsible for signal intelligence.; The agency responsible for signal intelligence and information assurance.; U.S. government agency responsible for signal intelligence and information assurance.; U.S. government agency responsible for signals intelligence and information assurance.; The U.S. government agency responsible for signals intelligence.; The U.S. government agency responsible for signal intelligence and information assurance.,"NATIONAL INDICATIONS CENTER; ATOMIC ENERGY COMMISSION; DEPARTMENT OF DEFENSE; FEDERAL BUREAU OF INVESTIGATION; SECRETARY OF DEFENSE; DEPARTMENT OF JUSTICE; DEPARTMENT OF STATE; UNITED STATES INFORMATION AGENCY; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","NATIONAL SECURITY AGENCY || Organization || NATIONAL INDICATIONS CENTER ATOMIC ENERGY COMMISSION DEPARTMENT OF DEFENSE FEDERAL BUREAU OF INVESTIGATION SECRETARY OF DEFENSE DEPARTMENT OF JUSTICE DEPARTMENT OF STATE UNITED STATES INFORMATION AGENCY ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE || A national-level intelligence agency of the United States. U.S. government agency responsible for signal intelligence. A U.S. government agency responsible for signal intelligence. The agency responsible for signal intelligence and information assurance. U.S. government agency responsible for signal intelligence and information assurance. U.S. government agency responsible for signals intelligence and information assurance.",False
PEIPING,PEIPING,46,28,45,Government; Location,Location,Peiping,"City receiving Soviet military transports.; City where talks between Communist China and Pakistan are taking place.; Historical name for Beijing, China, involved in boundary negotiations.; Refers to the Chinese government or leadership, particularly in the context of the Sino-Soviet dispute.; Refers to the Chinese government or its leadership.; Former name of Beijing, China, referenced in the context of Sino-Soviet relations.; The location where the plenary session of the Chinese Communist Party central committee was held.; Refers to Beijing, the capital of China, during the historical context.",USSR; COMMUNIST CHINA; SOVIET UNION; LAOS; PATHET LAO; MOSCOW; GIZENGA; KHRUSHCHEV; NEHRU; CHINA; SOUVANNA PHOUMA; GENERAL PHOUMI,"PEIPING || Government Location || USSR COMMUNIST CHINA SOVIET UNION LAOS PATHET LAO MOSCOW GIZENGA KHRUSHCHEV NEHRU CHINA || City receiving Soviet military transports. City where talks between Communist China and Pakistan are taking place. Historical name for Beijing, China, involved in boundary negotiations. Refers to the Chinese government or leadership, particularly in the context of the Sino-Soviet dispute. Refers to the Chinese government or its leadership. Former name of Beijing, China, referenced in the context of Sino-Soviet relations.",False
DIRECTOR,DIRECTOR,46,16,16,Person,Person,Director,The head of the Federal Bureau of Investigation.; The head of the National Security Agency.; The head of the National Indications Center.; The head of the United States Information Agency.,"ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; ATOMIC ENERGY COMMISSION; CHAIRMAN; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY; CHIEF OF STAFF, UNITED STATES AIR FORCE; CHIEF OF STAFF, UNITED STATES ARMY; COMMANDANT, UNITED STATES MARINE CORPS; COMMANDER IN CHIEF, PACIFIC; DEPARTMENT OF DEFENSE; DEPUTY SECRETARY OF DEFENSE","DIRECTOR || Person || ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE ATOMIC ENERGY COMMISSION CHAIRMAN CHAIRMAN, THE JOINT CHIEFS OF STAFF CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY CHIEF OF STAFF, UNITED STATES AIR FORCE CHIEF OF STAFF, UNITED STATES ARMY COMMANDANT, UNITED STATES MARINE CORPS COMMANDER IN CHIEF, PACIFIC || The head of the Federal Bureau of Investigation. The head of the National Security Agency. The head of the National Indications Center. The head of the United States Information Agency.",False
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,45,45,45,Organization,Organization,National Indications Center,An organization that provides indications and warning intelligence.; U.S. government center for intelligence analysis.; A U.S. government organization focused on indications and warning.; An organization involved in intelligence analysis.; U.S. government center for analyzing intelligence indications.; U.S. government center for analyzing indications and warnings.; U.S. government center for analyzing intelligence indicators.; The center that analyzes and disseminates intelligence.,"NATIONAL SECURITY AGENCY; ATOMIC ENERGY COMMISSION; DEPARTMENT OF DEFENSE; FEDERAL BUREAU OF INVESTIGATION; SECRETARY OF DEFENSE; DEPARTMENT OF JUSTICE; DEPARTMENT OF STATE; UNITED STATES INFORMATION AGENCY; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","NATIONAL INDICATIONS CENTER || Organization || NATIONAL SECURITY AGENCY ATOMIC ENERGY COMMISSION DEPARTMENT OF DEFENSE FEDERAL BUREAU OF INVESTIGATION SECRETARY OF DEFENSE DEPARTMENT OF JUSTICE DEPARTMENT OF STATE UNITED STATES INFORMATION AGENCY ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE || An organization that provides indications and warning intelligence. U.S. government center for intelligence analysis. A U.S. government organization focused on indications and warning. An organization involved in intelligence analysis. U.S. government center for analyzing intelligence indications. U.S. government center for analyzing indications and warnings.",False
