narrative_id,node_key,label,analyst_label,num_communities,size,top_labels,top_types,analyst_summary
0,NARRATIVE:0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,"U.S. reporting, diplomacy, and intelligence assessment",43,43,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY; ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD; BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29; AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID; HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM,"{""LEVEL1_COMMUNITY"": 43}",This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
1,NARRATIVE:1,35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL,"Soviet policy, leadership, and bloc maneuvering",15,15,"35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION; 1ST AIRBORNE BATTALION; 1ST INFANTRY DIVISION; 21ST DIVISION; 54TH BATTALION; 14TH DIVISION; 62 GROUP; ABADAN; ABAKUMOV; ABDALLAH AL-YAFI; ABDULLAH RIMAWI; ABD-AL HAMID BADAWI PASHA; ADMIRAL MANOLA; ABDUL RAHMAN AZZAM; ABUL PANAHI; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES; AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN); 67TH ARMY; AFRICAN DEMOCRATIC RALLY; AFRICAN REGROUPMENT PARTY; AIR INDIA INTERNATIONAL; 20TH PARTY CONGRESS; ACADEMY OF SCIENCES, USSR; ADHEMAR DE BARROS; AFRICAN MEMBERS OF THE COMMUNITY; 26 OF JULY MOVEMENT; 8TH AND 10TH BOMBER DIVISIONS; ABYE; ADMIRAL AUBOYNEAU; ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ; ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY; 10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961; AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY; ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY; ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID","{""LEVEL1_COMMUNITY"": 15}",This group connects 15 communities around: 35TH ARMY; 7TH GUARDS MECHANIZED DIVISION; ABDOLLAH ENTEZAM; ABDULLAH GOVERNMENT; 11-MEMBER EXECUTIVE COUNCIL; 12-NATION COMMISSION; 21ST OF SEPTEMBER MOVEMENT; 308TH DIVISION.
2,NARRATIVE:2,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,1,1,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT.
3,NARRATIVE:3,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,1,1,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER.
4,NARRATIVE:4,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,"Military posture, security forces, and regime stability",1,1,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY.
5,NARRATIVE:5,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,Labor unrest and internal political pressure,1,1,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG.
6,NARRATIVE:6,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,1,1,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI.
7,NARRATIVE:7,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,"Military posture, security forces, and regime stability",1,1,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE.
8,NARRATIVE:8,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,"Military posture, security forces, and regime stability",1,1,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS.
9,NARRATIVE:9,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,1,1,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,"{""LEVEL1_COMMUNITY"": 1}",This group connects 1 communities around: ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS.
