community_id,community_key,narrative_id,narrative_key,community_label,community_size,community_top_labels,narrative_label,num_communities,narrative_summary
0,COMMUNITY:0,0,NARRATIVE:0,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY,9084,"10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; 13TH AIR DIVISION; 13TH OF MARCH REVOLUTIONARY DIRECTORATE; 140TH DIVISION, 47TH ARMY; 14TH ARMY; 14TH OF MAY MOVEMENT; 18TH DIVISION; 1ST NAVAL AIR DIVISION; 20TH ARMY; 24TH AIR ARMY; 27TH ARMY; 2ND ARMY GROUP",10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
16,COMMUNITY:16,0,NARRATIVE:0,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS,68,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; BOLZANO PROVINCE; BRIGADIER GENERAL KIM YUN-KUN; BRITISH SOMALILAND PROTECTORATE; CARTER MAGRUDER; CHANG MYON ADMINISTRATION; CHANG TO-YONG; CHOE KYONG-NOK; CHOE YONG-HUI; DR. YU CHIN-O; HAWIYA; ISSA,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
17,COMMUNITY:17,0,NARRATIVE:0,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE),27,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); DR. JALAL ABDOH; GADJA MADA; GOODYEARS WINGFOOT ESTATE; INDONESIAN MERCHANT MARINE; INDONESIAN NAVY; KARAMI; KORPS COMMANDO - KKO; LT. COL. JOHN LIE; MUARA MAHAT; SURABAJA; TRANS-ARABIAN PIPELINE COMPANY,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
18,COMMUNITY:18,0,NARRATIVE:0,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY,10,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; LIBYAN DEFENSE MINISTER JERBI; PORT ARTHUR NAVAL BASE AREA; SINO-SOVIET TREATY OF 1950; TURKISH OFFICER YETISAL; Chinese Communist mission to Moscow | Chinese Communist mission seeking increased Soviet assistance for economic and military development | Communication | 1952; Appointment of Turkish officer to Libyan Army | Recommendation for a Turkish officer to be appointed as Commander in Chief of the Libyan Army | PolicyAction,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
19,COMMUNITY:19,0,NARRATIVE:0,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR,9,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; LEGISLATIVE YUAN; O. K. YUI; STATUS-OF-FORCES AGREEMENT; Impeachment of O. K. Yui | The Control Yuan impeached Premier O. K. Yui on charges of dereliction of duty. | Other | 1957-12-23; End of fighting agreement | Muzakkar agreed to end fighting between his forces and pro-Djakarta officials. | Other,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
20,COMMUNITY:20,0,NARRATIVE:0,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE,9,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; HAGI MUSA BOGOR; HAWIAS; SOMALI YOUTH LEAGUE; VYACHESLAV MOLOTOV; Protests in Somalia | Planned protests against the American Embassy and Ethiopian Consulate General by the Greater Somalia League and other groups. | Demonstrat,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
21,COMMUNITY:21,0,NARRATIVE:0,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK,8,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; SOCIALIST-LIBERAL COALITION CABINET; VAN ACKER; Agreement on Saudi oil transport | Agreement granting Onassis' company exclusive rights to transport Saudi oil. | Negotiation | 1953-12-31; EUROPEAN INTEGRATION,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
22,COMMUNITY:22,0,NARRATIVE:0,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI,8,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; ZARYA VOSTOKA; Public disorders in Georgia | Demonstrations protesting against the attacks on Stalin's reputation | Demonstration | 1956-03-07; Algerian economy near-collapse | Algerian economy reported in a state of near-collapse due to rebel attacks | EconomicAction; Tripartite Appeal Suggestion | Pineau suggested a meeting of French-British-American ministers to appeal to the USSR regarding the Near East arms race. | Meetin,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
25,COMMUNITY:25,0,NARRATIVE:0,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE,7,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; Repatriation of POWs | Vyshinsky stated that all prisoners should be repatriated regardless of their wishes. | Negotiation | 1952-11-10; Recapture of base | Moslem guerrillas recaptured their base in eastern Tsinghai Province. | MilitaryAction | 1952-10-16; Arms policy discussion | British Government discusses arms release to Egypt and its implications. | PolicyAction,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
26,COMMUNITY:26,0,NARRATIVE:0,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH,7,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; Attack on opposition deputies | Opposition deputies attacked by ruling party members | Violence | 1959-09-22; Shift of national capital | Shift of national capital from Karachi to Rawalpindi area scheduled to begin | PolicyAction | 1959-10; Warning to faction leaders | Kishi warns faction leaders about potential Diet dissolution | Communication | 1959-09-23,10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS,43,This group connects 43 communities around: 10TH AIR ARMY; 10TH AIR DIVISION; 11TH ARMORED INFANTRY BRIGADE; 12TH ARMY; ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS.
