original_normalized_label,canonical_label,canonical_key,method,confidence,mention_count,doc_count,entity_type,surface_forms,sample_context
USSR,USSR,CANONICAL_ENTITY:USSR,multi_sense_label,1.0,1895,1149,Country,USSR,"Country receiving lead shipments from London brokers. || Soviet Union, mentioned in the context of potential diplomatic actions regarding the Dardanelles. || Country accused of applying military pressure against Yugoslavia"
SOVIET UNION,SOVIET UNION (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SOVIET_UNION_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,1272,1000,Country,Soviet Union; SOVIET UNION,Country involved in the Korean war plans. || Country involved in discussions regarding Germany's future. || Country exerting control over Albania.
EGYPT,EGYPT (BULLETIN TURKISH COUNTRY),CANONICAL_ENTITY:EGYPT_BULLETIN_TURKISH_COUNTRY,a3_single_cluster_self,1.0,1084,756,Country,Egypt,Country involved in the British military planning for the Suez Canal Zone. || Country proclaiming a state of emergency due to anti-French demonstrations || Location from where Moslem criticism of French actions was voiced
FRANCE,FRANCE (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:FRANCE_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,943,714,Country,France,Country whose actions in Morocco were criticized by Moslems || Country involved in the Foreign Ministers' Conference. || French delegation at the Deputy Foreign Ministers' Conference
UNITED STATES,UNITED STATES (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:UNITED_STATES_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,890,737,Country,United States; the United States,Country involved in lead supply negotiations. || The country whose rearmament concerns the Soviet delegates. || Country accused of having designs on Indochina
PEIPING,PEIPING,CANONICAL_ENTITY:PEIPING,multi_sense_label,1.0,777,587,Location,Peiping,"City reportedly committing more units to Korea. || Former name of Beijing, China. || Location referred to in the context of Chinese intervention and Sino-Soviet relations."
KHRUSHCHEV,KHRUSHCHEV (BULLETIN IS POLICIES),CANONICAL_ENTITY:KHRUSHCHEV_BULLETIN_IS_POLICIES,a3_single_cluster_self,1.0,694,431,Person,Khrushchev,Politburo member associated with a radical approach to collectivization. || Soviet leader tasked with consolidating collective farms || A member of the new USSR Party Secretariat and close associate of Malenkov.
ISRAEL,ISRAEL (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:ISRAEL_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,692,515,Country,Israel,Country mentioned as a possible location for a temporary British base. || Country involved in border incidents with Syria. || Country involved in border tensions with Syria.
COMMUNIST CHINA,COMMUNIST CHINA (COUNTRY BULLETIN IRANIAN),CANONICAL_ENTITY:COMMUNIST_CHINA_COUNTRY_BULLETIN_IRANIAN,a3_single_cluster_self,1.0,622,499,Country,Communist China,Country receiving steel shipments. || Country involved in the peace approach discussion. || Country not invited to participate in the Japanese peace settlement.
INDIA,INDIA (COUNTRY BULLETIN MOROCCO),CANONICAL_ENTITY:INDIA_COUNTRY_BULLETIN_MOROCCO,a3_single_cluster_self,1.0,605,477,Location,India,Country reacting to events in Morocco || Country that might not sign the treaty if unacceptable to USSR and Communist China. || The country receiving food relief offers from the Communist Orbit.
IRAQ,IRAQ (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:IRAQ_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0,564,395,Country,Iraq,Nearby base considered for British troops if necessary || Country providing military support to Syria. || Country dispatching planes and troops to Syria.
VIET MINH,VIET MINH,CANONICAL_ENTITY:VIET_MINH,multi_sense_label,1.0,559,441,PoliticalGroup,Viet Minh,A political and military organization in Vietnam. || Political group reported to be planning an offensive against French forces. || Group involved in the conflict in Indochina.
UAR,UAR,CANONICAL_ENTITY:UAR,multi_sense_label,1.0,557,284,Country,UAR,"United Arab Republic, involved in the allegations against King Saud. || United Arab Republic, potentially involved in economic blockade actions. || United Arab Republic, involved in the petition from Palestinian refugees."
