normalized_label,mention_count,unique_docs,source_types,primary_type,label_ambiguity,looks_like_acronym,family,rule_candidate_labels,needs_sense_clustering
KGB,7,7,Government; Organization,Organization,0.92,True,government,,True
UPA,5,3,Organization; PoliticalGroup,PoliticalGroup,0.92,True,political_group,,True
WEST,3,3,Other; PoliticalGroup,PoliticalGroup,0.92,True,political_group,,True
KRUG,2,2,Organization; Other,Other,0.92,True,organization,,True
BONN,148,126,Government; Location; Other,Location,0.84,True,government,,True
EDC,32,30,Organization; Other; PoliticalGroup,Other,0.84,True,political_group,,True
MVD,6,5,Government; Organization; Other,Organization,0.84,True,government,,True
ROK,3,3,Government; PoliticalGroup,Government,0.84,True,government,,True
SEJM,3,3,Government; Organization; Other,Government,0.84,True,government,,True
EVC,2,1,Organization; PoliticalGroup,Organization,0.84,True,political_group,,True
FLN,18,15,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
CDNI,10,8,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
ENI,3,3,Organization,Organization,0.8,True,organization,,True
HUK,2,2,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
PCI,2,2,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
RPI,2,2,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
RPP,2,2,PoliticalGroup,PoliticalGroup,0.8,True,political_group,REPUBLICAN PEOPLES PARTY; REVOLUTIONARY PARTY PR,True
UPC,2,2,PoliticalGroup,PoliticalGroup,0.8,True,political_group,,True
UN,178,156,Organization,Organization,0.72,True,organization,,True
TASS,41,39,Organization,Organization,0.72,True,organization,,True
PAG,16,11,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
WAFD,16,15,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
EEC,9,5,Organization,Organization,0.72,True,organization,,True
SPD,8,8,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
ORR,4,4,Organization,Organization,0.72,True,organization,,True
SED,4,4,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
MNR,3,3,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
SKDL,3,2,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
BLOC,2,2,Other,Other,0.72,True,political_group,,True
CPSU,2,2,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
CTC,2,2,Organization,Organization,0.72,True,organization,,True
