node_key,label,node_type,member_count,top_labels
LEVEL1_COMMUNITY:0,Cease-fire agreement / Exchange of fire,LEVEL1_COMMUNITY,2343,Cease-fire agreement | Exchange of fire | Mobilization of Israeli forces | Israeli mobilization | Troop Movement | Soviet aid offer | Demonstrations planned | Israeli attack
LEVEL1_COMMUNITY:1,Negotiations in Laos / Press Conference,LEVEL1_COMMUNITY,1771,Negotiations in Laos | Press Conference | Military conflict in Laos | Tripartite talks | National Assembly session | Visit to Peiping | Arms Negotiation | Geneva Conference
LEVEL1_COMMUNITY:2,Recognition of Mongolia / Military assessment,LEVEL1_COMMUNITY,1619,Recognition of Mongolia | Military assessment | Formation of new Vietnamese cabinet | Geneva Conference | Geneva conference | COCOM meeting | Cease-fire negotiations | Indochina talks
LEVEL1_COMMUNITY:3,Tananarive conference / Detention of Tshombé,LEVEL1_COMMUNITY,1559,Tananarive conference | Detention of Tshombé | Round-table conference | Press Conference | Disorders in Tananarive | UN General Assembly vote | Strikes in Belgium | Conference of Congolese leaders
LEVEL1_COMMUNITY:4,Negotiation with USSR / Appointment of Prime Minister,LEVEL1_COMMUNITY,1537,Negotiation with USSR | Appointment of Prime Minister | Negotiation on compensation | Declaration of independence | Trade negotiations | Demonstrations in Iran | Good-will mission to Moscow | 2ND ARMY GROUP
LEVEL1_COMMUNITY:5,Indonesian Elections / Formation of new Indonesian cabinet,LEVEL1_COMMUNITY,1510,Indonesian Elections | Formation of new Indonesian cabinet | Indonesian elections | Sukarno's Speech | Sukarno's Departure | Cabinet Meeting | 11 MEMBER EXECUTIVE COUNCIL | 527TH BATTALION
LEVEL1_COMMUNITY:6,Demonstrations in Algeria / Bourguiba's speech,LEVEL1_COMMUNITY,1469,Demonstrations in Algeria | Bourguiba's speech | Cease-fire Negotiation | Political Crisis in France | Request to US | Request for arms | Demonstrations in Algiers | Nasir's visit to the USSR
LEVEL1_COMMUNITY:7,Demonstrations in Trieste / Tito's speech,LEVEL1_COMMUNITY,1467,Demonstrations in Trieste | Tito's speech | Interview with Tito | Negotiation on Trieste | Anglo-Egyptian talks | Conference proposal | 7TH GUARDS MECHANIZED DIVISION | ABDUL RAZEK
LEVEL1_COMMUNITY:8,Cabinet Meeting / Bundestag debate,LEVEL1_COMMUNITY,1384,Cabinet Meeting | Bundestag debate | Negotiation on German defense contribution | Bundestag Debate | Sicilian regional elections | Local elections in Italy | ADENAUER GOVERNMENT [0698] | ADENAUER
LEVEL1_COMMUNITY:9,Visit to Moscow / Nehru's Statements,LEVEL1_COMMUNITY,1314,Visit to Moscow | Nehru's Statements | Korean talks | Trade Negotiations | Demonstrations in Seoul | Border Incident | Demonstration against treaty | Dismissal of Kalchenko
LEVEL1_COMMUNITY:10,Khrushchev's speech / Geneva Conference,LEVEL1_COMMUNITY,1212,Khrushchev's speech | Geneva Conference | Central Committee Plenum | Khrushchev's interview | Disarmament Discussion | Visit Invitation | Khrushchev's Speech | Khrushchev's visit to Poland
