community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary
1,COMMUNITY:1,Jordanian Political and Military Leadership,Middle Eastern Governance and Diplomacy,148,KING HUSSAIN | NUWAR [LEGION] | NABULSI | AMBASSADOR MALLORY | SAMIR RIFAI | PRIME MINISTER NABULSI | AMMAN | HIYARI,"{""EventCluster"": 88, ""CanonicalEntity"": 60}",This community encompasses key figures and events in Jordan's political and military landscape during a pivotal historical period.
135,COMMUNITY:135,Sihanouk's Political Influence in Cambodia,Cambodian Political Dynamics and Leadership,139,SIHANOUK | CAMBODIA | DAP CHHUON | SON NGOC THANH | SAM SARY | MONGOLIA | KING SURAMARIT | Resignation of Prince Sihanouk,"{""EventCluster"": 93, ""CanonicalEntity"": 46}",This community explores the political impact of Sihanouk and key figures in Cambodia's history.
2,COMMUNITY:2,Ben Gurion and Political Allies,Israeli Political Leadership and Events,102,BEN GURION | LAWSON | SHARETT | Ben-Gurion's visit to the US | MAPAI [CD91] | MAPAI PARTY [1989] | PINHAS LAVON | ACHDUT HAAVODA,"{""EventCluster"": 58, ""CanonicalEntity"": 44}",This community focuses on Ben Gurion and his political associates during key events in Israeli history.
621,COMMUNITY:621,Soviet Influence in International Affairs,Cold War Geopolitical Dynamics,89,SOVIET UNION [FFC2] | ADMIRAL MARTADINATA | GENEVA AIR SHOW | AIR MARSHAL SURYADARMA | Soviet Fighter Attack | NORWEGIAN OFFICIALS | Soviet declaration of peace | ALBANIAN NATIONAL COMMITTEE,"{""EventCluster"": 48, ""CanonicalEntity"": 41}",This community explores the Soviet Union's impact on global events and international relations during the Cold War.
3,COMMUNITY:3,Lebanon's Energy and Economic Dynamics,Middle Eastern Energy Politics and Infrastructure,86,LEBANON | TRANS ARABIAN PIPELINE COMPANY | Conference on revenue demands | KARAMI | Attack on Wingfoot estate | Lebanon's Acceptance of UN Proposals | Negotiations with Tapline | Soviet veto of Western resolution,"{""EventCluster"": 64, ""CanonicalEntity"": 22}",This community explores Lebanon's role in energy negotiations and economic strategies related to the Trans Arabian Pipeline.
285,COMMUNITY:285,Dutch Political Dynamics and Maritime Affairs,European Governance and Naval Operations,82,NETHERLANDS | DUTCH | Cabinet crisis in Finland | POLISH MERCHANT MARINE | Troop commitment for Korea | Coal trains stopped | Arrival of Dutch Naval Ships | PRINCE TALLAL,"{""EventCluster"": 47, ""CanonicalEntity"": 35}",This community focuses on the interplay of Dutch political events and maritime activities.
145,COMMUNITY:145,South Vietnamese Military Leadership Dynamics,Military and Political Power Struggles in Vietnam,80,DIEM | GENERAL HINH | CAO DAI [DC94] | HOA HAO SECT | GENERAL NGUYEN KHANH | GENERAL DUONG VAN MINH | Attempted coup against Diem | SOUTH VIETNAMESE MILITARY LEADERS,"{""EventCluster"": 42, ""CanonicalEntity"": 38}",This community focuses on the interactions and conflicts among South Vietnamese military leaders during the Diem regime.
519,COMMUNITY:519,Geopolitical Tensions in Peiping,Historical Conflicts and Diplomatic Relations,80,PEIPING [8594] | Issuance of warning | US WARSHIPS | Visit to Peiping | ALL UNION ASSOCIATION FOR PETROLEUM PRODUCTS | GERMAN LUFTWAFFE | Peiping Campaign | AMERICAN AMBASSADOR TO THAILAND,"{""EventCluster"": 58, ""CanonicalEntity"": 22}",This community focuses on the geopolitical dynamics and events surrounding Peiping during periods of conflict and diplomatic activity.
639,COMMUNITY:639,Political Dynamics in South Asian Leadership,Historical Political Movements in South Asia,80,MIRZA | SUHRAWARDY | AWAMI LEAGUE | REPUBLICAN PARTY [YOSHIO / SHIGA] | I I CHUNDRIGAR | CHUNDRIGAR | PRIME MINISTER NOON | MAULANA BHASHANI,"{""EventCluster"": 47, ""CanonicalEntity"": 33}",This community explores the interplay of key political figures and parties in South Asia's historical landscape.
234,COMMUNITY:234,Diplomatic Engagements in Oil Negotiations,Energy Diplomacy and Geopolitical Strategies,79,AMBASSADOR HENDERSON | Oil agreement | SENATE [MAJLIS / HENDERSON] | Oil negotiations begin | IRANIAN CABINET | Defense policy readjustment announced | Retaliation Threat | Treaty Talks Proposal,"{""EventCluster"": 47, ""CanonicalEntity"": 32}",This community focuses on the interplay of diplomacy and oil agreements in shaping regional defense policies.
