narrative_id,node_key,label,analyst_label,num_communities,size,top_labels,top_types,analyst_summary
0,NARRATIVE:0,Geopolitical Dynamics in the Middle East,Middle Eastern Political and Military Interactions,73,2343,EGYPT | ISRAEL | JORDAN | SYRIA | BEN GURION | KING HUSSAIN | LEBANON | UAR [AB96],"{""EventCluster"": 1392, ""CanonicalEntity"": 951}",This narrative explores the complex political and military relationships among key Middle Eastern nations.
7,NARRATIVE:7,Geopolitical Dynamics in Southeastern Europe,Regional Political Interactions and Alliances,64,1467,YUGOSLAVIA | ITALY | GREECE | TITO | TRIESTE | DE GASPERI | BULGARIA | PELLA,"{""EventCluster"": 791, ""CanonicalEntity"": 676}",Exploring the complex diplomatic relationships and political developments in Southeastern Europe during the 20th century.
28,NARRATIVE:28,Geopolitical Alliances and Tensions,International Political Dynamics,64,521,UNITED STATES [41F6] | BRITAIN | ICELAND | APRA PARTY | REYKJAVIK | LABOR ALLIANCE | ODRIA | NATO [ICELAND / BRITAIN],"{""EventCluster"": 280, ""CanonicalEntity"": 241}",This narrative explores the complex relationships and conflicts among nations in the context of political alliances and diplomatic negotiations.
6,NARRATIVE:6,Geopolitical Dynamics of North Africa and France,Cold War Era International Relations,63,1469,FRANCE | DE GAULLE | ALGERIA | TUNISIA | BOURGUIBA | ALGIERS | MOLLET | ALGERIAN REBELS [IVORY / BOIGNY],"{""EventCluster"": 750, ""CanonicalEntity"": 719}",This narrative explores the complex interactions between France and North African nations during the Cold War.
21,NARRATIVE:21,Geopolitical Tensions in Divided Germany,Cold War Divisions and Alliances,62,736,EAST GERMANY | WEST GERMANY | WEST BERLIN | BERLIN | EAST BERLIN | SOCIALIST UNITY PARTY [F7EB] | WALTER ULBRICHT | BONN GOVERNMENT [864D],"{""EventCluster"": 380, ""CanonicalEntity"": 356}",This narrative explores the complex geopolitical dynamics and tensions in Germany during the Cold War era.
11,NARRATIVE:11,Cold War Geopolitical Dynamics in South Asia,Geopolitical Influences and Leadership Changes,59,1135,PAKISTAN | AFGHANISTAN | SOVIET UNION [FFC2] | MIRZA | AYUB | DAUD | NAIM | SUHRAWARDY,"{""EventCluster"": 638, ""CanonicalEntity"": 497}",This narrative explores the complex interplay of Cold War politics and leadership shifts in South Asia.
9,NARRATIVE:9,Cold War Dynamics in South Asia,Geopolitical Interactions in South Asia,58,1314,INDIA | NEHRU | PEIPING [8594] | CHOU EN LAI | Chou's visit to Rangoon | DALAI LAMA | NEPAL | NEW DELHI,"{""EventCluster"": 742, ""CanonicalEntity"": 572}",This narrative explores the complex geopolitical relationships and conflicts in South Asia during the Cold War era.
4,NARRATIVE:4,Geopolitical Dynamics of Iranian Oil,Energy Politics and Regional Alliances,57,1537,IRAN | MOSSADEQ | SHAH OF IRAN | SHAH [71AD] | ZAHEDI | AMBASSADOR HENDERSON | ANGLO IRANIAN OIL COMPANY | TEHRAN,"{""EventCluster"": 832, ""CanonicalEntity"": 705}",This narrative explores the complex interplay of Iranian oil politics and its impact on regional and global diplomatic relations.
2,NARRATIVE:2,Southeast Asia Military Dynamics,Southeast Asian Political and Military Interactions,54,1619,VIET MINH [A5CF] | VIET MINH [DIEN / PHUNAVARRE] | DIEM | BAO DAI | CAMBODIA | SOUTH VIETNAM | SIHANOUK | Viet Minh attack on Laos,"{""EventCluster"": 885, ""CanonicalEntity"": 734}",This narrative explores the complex political and military relationships in Southeast Asia during the Cold War era.
10,NARRATIVE:10,Cold War Diplomacy and Governance,Geopolitical Strategies and Leadership Dynamics,52,1212,KHRUSHCHEV | USSR [4A23] | BULGANIN | EISENHOWER | MOLOTOV | MALENKOV | MIKOYAN | AMBASSADOR THOMPSON,"{""EventCluster"": 618, ""CanonicalEntity"": 594}",Explores the intricate diplomatic engagements and governance strategies during the Cold War era.
8,NARRATIVE:8,Post-War Political Dynamics in Europe,European Political Evolution and Integration,50,1384,ADENAUER | CHANCELLOR ADENAUER | CHRISTIAN DEMOCRATIC UNION | CHRISTIAN DEMOCRATIC PARTY | SOCIAL DEMOCRATIC PARTY | CHRISTIAN DEMOCRATS | GERMANY | BUNDESTAG [7422],"{""CanonicalEntity"": 729, ""EventCluster"": 655}","This narrative explores the complex political developments in Europe following World War II, focusing on governance, diplomacy, and party dynamics."
15,NARRATIVE:15,Middle Eastern Political and Diplomatic Dynamics,Regional Leadership and International Relations,50,940,KING SAUD | SAUDI ARABIA | NASIR | CROWN PRINCE FAYSAL | UNITED ARAB REPUBLIC | KING HUSAYN | KUWAIT | ARAMCO,"{""EventCluster"": 531, ""CanonicalEntity"": 409}",This narrative explores the complex interplay of political leadership and diplomatic efforts across the Middle East.
3,NARRATIVE:3,Geopolitical Dynamics in Central Africa,Central African Political and Diplomatic History,49,1559,CONGO | GIZENGA | LUMUMBA | MOBUTU | BELGIUM | KASAVUBU | TSHOMBÉ | HAMMARSKJOLD,"{""EventCluster"": 908, ""CanonicalEntity"": 651}","This narrative explores the complex political and diplomatic interactions in Central Africa, particularly focusing on the Congo region."
5,NARRATIVE:5,Indonesian Political Leadership and Dynamics,Government Leadership and Political Movements,49,1510,SUKARNO [INDONESIA] | INDONESIA | GENERAL NASUTION | SUKARNO [BD7E] | HATTA | INDONESIAN GOVERNMENT [A63D] | MASJUMI [A2A8] | NATIONAL PARTY [E5E7],"{""EventCluster"": 820, ""CanonicalEntity"": 690}",Exploring the complexities of political leadership and dynamics in Indonesia's historical context.
12,NARRATIVE:12,East Asia Cold War Dynamics,Cold War Influences and Regional Strategies,49,1103,CHINESE COMMUNISTS | CHIANG KAI SHEK | CHINESE COMMUNIST | TAIWAN | FORMOSA | CHIANG CHING KUO | TAIPEI | LI MI,"{""EventCluster"": 562, ""CanonicalEntity"": 541}",This narrative explores the complex geopolitical interactions and strategies in East Asia during the Cold War era.
1,NARRATIVE:1,Laos and Regional Political Dynamics,Southeast Asian Political Movements and Governance,48,1771,SOUVANNA PHOUMA | LAOS | GENERAL PHOUMI | PATHET LAO [AB93] | VIENTIANE | KONG LE | NORTH VIETNAM | SOUPHANNOUVONG,"{""EventCluster"": 1084, ""CanonicalEntity"": 687}",Exploring the complex political landscape and movements in Laos and their impact on regional dynamics.
16,NARRATIVE:16,Political Dynamics in Central America and the Caribbean,Regional Political Turmoil and Governance,48,929,DOMINICAN REPUBLIC | VENEZUELA | NICARAGUA | TRUJILLO | COSTA RICA | ORGANIZATION OF AMERICAN STATES [67D5] | BETANCOURT | HONDURAS,"{""EventCluster"": 471, ""CanonicalEntity"": 458}",This narrative explores the complex political interactions and upheavals across Central America and the Caribbean.
26,NARRATIVE:26,Political and Labor Dynamics in South America,Geopolitical Tensions and Movements,48,646,ARGENTINA | FRONDIZI | PERON | General Strike | BUENOS AIRES | PERONISTA | URUGUAY | CARLOS TORANZO MONTERO,"{""CanonicalEntity"": 346, ""EventCluster"": 300}",Explores the interplay of political maneuvering and labor unrest across South American nations.
46,NARRATIVE:46,Geopolitical Strategies and Intelligence Operations,Global Geopolitical Dynamics and Intelligence,48,313,CENTRAL INTELLIGENCE AGENCY | OFFICE OF CURRENT INTELLIGENCE | Trip to South Asia | Pipeline Agreement | Z R RAKHIMBABAYEVA | Reaction to Middle East Command | LIRI BELISHOVA | CHANGCHUN RAILWAY,"{""EventCluster"": 172, ""CanonicalEntity"": 141}",This narrative explores the interplay of intelligence operations and geopolitical strategies across various regions and historical contexts.
13,NARRATIVE:13,Post-War Political Dynamics in Japan,Japanese Political History and Diplomacy,46,1053,JAPAN | KISHI | YOSHIDA | LIBERAL DEMOCRATIC PARTY | IKEDA | SHIGEMITSU | LIBERAL PARTY [06DE] | HATOYAMA,"{""EventCluster"": 561, ""CanonicalEntity"": 492}",Exploring the complex political landscape and diplomatic efforts in Japan after World War II.
17,NARRATIVE:17,East Asia Political-Military Interactions,Regional Political and Military Interactions,46,909,SOUTH KOREA | RHEE [ROK] | RHEE [B691] | NORTH KOREA | CHANG MYON | AMBASSADOR BRIGGS | SOUTH KOREAN NATIONAL ASSEMBLY | YI KI PUNG,"{""EventCluster"": 502, ""CanonicalEntity"": 407}","This narrative explores the complex geopolitical relationships and military strategies in East Asia, particularly involving Korea and its neighbors."
