community_id,community_key,narrative_id,narrative_key,community_label,community_size,community_top_labels,narrative_label,num_communities,narrative_summary
0,COMMUNITY:0,0,NARRATIVE:0,Beirut and Mixed Armistice Dynamics,44,BEIRUT | MIXED ARMISTICE COMMISSION [3D21] | EGYPTIAN MILITARY [NOTE / BRITAIN] | Protest to Mixed Armistice Commission | SUEZ CANAL ZONE | 11TH ARMORED INFANTRY BRIGADE | ARAB STATES | ISRAELI FOREIGN MINISTRY [NEEMAN / RAF],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
1,COMMUNITY:1,0,NARRATIVE:0,Jordanian Political and Military Leadership,148,KING HUSSAIN | NUWAR [LEGION] | NABULSI | AMBASSADOR MALLORY | SAMIR RIFAI | PRIME MINISTER NABULSI | AMMAN | HIYARI,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
2,COMMUNITY:2,0,NARRATIVE:0,Ben Gurion and Political Allies,102,BEN GURION | LAWSON | SHARETT | Ben-Gurion's visit to the US | MAPAI [CD91] | MAPAI PARTY [1989] | PINHAS LAVON | ACHDUT HAAVODA,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
3,COMMUNITY:3,0,NARRATIVE:0,Lebanon's Energy and Economic Dynamics,86,LEBANON | TRANS ARABIAN PIPELINE COMPANY | Conference on revenue demands | KARAMI | Attack on Wingfoot estate | Lebanon's Acceptance of UN Proposals | Negotiations with Tapline | Soviet veto of Western resolution,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
4,COMMUNITY:4,0,NARRATIVE:0,Israeli Military Dynamics Overview,55,TEL AVIV | EBAN | NEGEV | SOCIALISTS [SPAIN / YOST] | Armored exercises in Negev | Hammarskjold's discussions in Amman | Israeli army reshuffling | Submarine acquisition by Egypt,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
5,COMMUNITY:5,0,NARRATIVE:0,Jordan Border Incident Analysis,12,Jordan border clash | Bus ambush | Message from UN Secretary General | ADMIRAL RUBEN PIEDRAHITA | AMERICAN EMBASSY IN TEL AVIV [PIEDRAHITA / GABRIEL] | ARMED FORCES COMMANDER DUARTE BLUM | ARMY COMMANDER MUNOZ | GENERAL GABRIEL PARIS,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
6,COMMUNITY:6,0,NARRATIVE:0,Alexandria and Regional Military Engagements,55,ALEXANDRIA | KRASNODAR | ADMIRAL USHAKOV | ISRAELI FORCES [VOLUNTEERS / SMELA] | Arrival of Admiral Ushakov | EGYPTIAN FORCES [VOLUNTEERS / SMELA] | LAKE TIBERIAS | SOUTH AFRICAN VOLUNTEERS,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
7,COMMUNITY:7,0,NARRATIVE:0,Syrian Military and Political Dynamics,74,SYRIA | ARMY CHIEF OF INTELLIGENCE SARRAJ | Agreement on textile machinery | Divisive tendencies in Syrian government | Postponement of Sukarno's tour | ASSISTANT CHIEF OF STAFF NAFRURI | PRIME MINISTER ASSALI | SYRIAN CEREALS OFFICE,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
8,COMMUNITY:8,0,NARRATIVE:0,Israeli Government Leadership and Actions,35,FOREIGN MINISTER SHARETT | PRIME MINISTER BEN GURION | SOVIET FREIGHTER ALEXANDER NEVSKY | Israeli reprisal raid | AFGHAN GOVERNMENT [MOOSE / MAPAI] | US MINISTER CANNON | MORRISON KNUDSEN COMPANY | Border clash,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
9,COMMUNITY:9,0,NARRATIVE:0,Aswan Dam Negotiations and Political Maneuvering,19,Withdrawal of Aswan Dam Offer | ASWAN HIGH DAM [SHEPILOV / HELWAN] | ASWAN HIGH DAM [7550] | HELWAN | Defection efforts | Nuwar's promotion | Soviet support promise | BRITISH DE HAVILLAND,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
10,COMMUNITY:10,0,NARRATIVE:0,Diplomatic Engagements in the Levant,36,ALEPPO | ISRAELI BORDER | JOHNSTON PLAN | Linking Palestine to Anglo-Egyptian talks | LEBANESE FOREIGN MINISTER | EGYPTIAN NAVAL COMMANDER IN CHIEF | Delivery of motor torpedo boats | ISRAELI AMBASSADOR EBAN,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
11,COMMUNITY:11,0,NARRATIVE:0,Conflict and Diplomacy in Regional Affairs,6,ALEXEJ CEPICKA | BOHUMIL LOMSKY | NASR [LOMSKY / BOHUMIL] | Attack near Jordan border | Cease-fire negotiations | Dismissal of Alexej Cepicka,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
12,COMMUNITY:12,0,NARRATIVE:0,Middle Eastern Political Mobilization,25,ALI SABRI | UAR [CZECHOSLOVAKIA / SYRIA] | Arrests in Riyadh | Meeting request | Mobilization in Israel | Soviet travel restrictions | BONN [LEBANON / DIRECTED] | EGYPTIAN DIRECTED FEDAYEEN,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
13,COMMUNITY:13,0,NARRATIVE:0,Egyptian Naval Training in Haifa,39,HAIFA | Egyptian naval training | EILAT | SOVIET BLOC [WADSWORTH / SYRIA] | Delivery of military supplies to Egypt | Arrival of Soviet bloc technicians in Egypt | CAIRO RADIO [MATSUMOTO / GURION] | DUTCH SHIP CASABLANCA,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
14,COMMUNITY:14,0,NARRATIVE:0,Gaza Strip Humanitarian and Security Dynamics,52,GAZA STRIP | UNITED NATIONS EMERGENCY FORCES | RAFIQ | NAHAL | Egypt sends officials to Gaza | Emergency conference in Iraq | Food supply exhaustion in Gaza | France prepares air cover for Israel,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
15,COMMUNITY:15,0,NARRATIVE:0,Military Developments in Gulf of Aqaba,37,GULF OF AQABA | Installation of artillery | HAQAL | GDYNIA | SHARM EL SHAIKH | SAUDI SHIP | AL BRIJ | Airfield improvement plans,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
16,COMMUNITY:16,0,NARRATIVE:0,Syrian Political Dynamics and Leadership,40,KHALID AL AZM | ARAB SOCIALIST RESURRECTION PARTY | SABRI AL ASALI | ARAB SOCIALIST RESURRECTIONIST PARTY | SYRIAN CABINET | Formation of new Syrian cabinet | NASR [SYRIA / RESURRECTION] | Coup Plot in Syria,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
17,COMMUNITY:17,0,NARRATIVE:0,Diplomatic Dynamics in Egyptian Politics,73,AMBASSADOR BYROADE | FAWZI | PRIME MINISTER NASR | EGYPTIAN REVOLUTIONARY COMMAND COUNCIL [339E] | Dissension in Revolutionary Command Council | SALAH SALIM | HAKIM AMIR | Cease-fire proposal,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
18,COMMUNITY:18,0,NARRATIVE:0,Israeli Military and Diplomatic Leadership,38,ISRAELI ARMY | COLONEL WEIZMANN | AMBASSADOR DAVIS | GENERAL YADIN | MEHAHEM BEGIN | FRENCH FOREIGN MINISTRY [DAVIS / ISRAEL] | HERUT PARTY [MEHAHEM / BEGIN] | MIXED ARMISTICE COMMISSION [DAVIS / CANNON],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
19,COMMUNITY:19,0,NARRATIVE:0,Regional Conflicts and Political Turmoil,10,Israeli attacks on Jordanian villages | Threat of reign of terror in Iran | AMBASSADOR GREEN | FATEMI | CRUSADERS OF ISLAM | GENERAL WALTER | MOSSADEQ GOVERNMENT [ISLAM / FEDAYAN] | Concerns over British evacuation of Suez bases,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
20,COMMUNITY:20,0,NARRATIVE:0,Cold War Diplomatic Engagements 7,11,USSR [CZECHOSLOVAKIA / LEBANON] [58A7] | AMBASSADOR JOHNSTON | PRIME MINISTER SHARETT | BURMESE TRADE DELEGATION | Trade Agreement Signing | Arab representatives meeting | Criticism of Iraqi-Turkish treaty | Johnston's discussions,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
21,COMMUNITY:21,0,NARRATIVE:0,Diplomatic Engagements in Jidda,61,AMBASSADOR MOOSE | GHAZZI | AMERICAN EMBASSY IN JIDDA | UN TRUCE SUPERVISORY ORGANIZATION | PRIME MINISTER GHAZZI | TAPLINE COMPANY | Four-power Arab meeting | SHUKRI QUWATLI,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
22,COMMUNITY:22,0,NARRATIVE:0,Geopolitical Dynamics of the Suez Crisis,71,PRESIDENT NASR | SUEZ CANAL COMPANY [6608] | ROYAL NAVY | FRANCOIS CHARLES ROUX | SOVIET 24TH AIR ARMY | NATO [ISRAEL / JORDAN] | Israeli military action anticipation | Nasr's premiership assumption,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
23,COMMUNITY:23,0,NARRATIVE:0,Israeli Defense and Humanitarian Operations,47,SHISHAKLI | ISRAELI DEFENSE FORCES | UNITED NATIONS RELIEF AND WORKS AGENCY | COLONEL HINAWI | Israeli maneuvers | Israeli troop movements | Agreement for resettlement of Arab refugees | Contact with former King Zog,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
24,COMMUNITY:24,0,NARRATIVE:0,Maharashtra's Historical Political Developments,9,MAHARASHTRA | Announcement of enlarged Bombay state | Construction of dam above Lake Huleh | AMERICAN AND BRITISH | GUJERAT | Demonstration in Bombay | French arms policy statement | Israeli military action,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
25,COMMUNITY:25,0,NARRATIVE:0,Military Dynamics in Damascus and Bilbeis,25,DAMASCUS | AMERICAN ARMY ATTACHE [55D8] | BILBEIS | Discussion on military aid | Departure of Atlit | Israeli military project | Syrian parliamentary by-elections | Construction of new airfield,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
26,COMMUNITY:26,0,NARRATIVE:0,Geopolitical Dynamics in North Africa,51,UN SECURITY COUNCIL | PRIME MINISTER BEN HALIM | PANNGIA | PORT SAID | AMERICAN ARMY ATTACHE [FRANCE / TAPPIN] | MALTA | GUATEMALAN EXILES [PANNGIA / HAIFA] | BUNDESTAG [FRANCE / TAPPIN],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
27,COMMUNITY:27,0,NARRATIVE:0,Military Movements in Latakia Region,46,LATAKIA | Arrival of jet fighters | Departure of Israeli Defense Ministry director | Israeli mobilization | ISRAELI DEFENSE MINISTRY | EGYPTIAN FORCE | MISR | Arrival of Egyptian force,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
28,COMMUNITY:28,0,NARRATIVE:0,Geopolitical Dynamics in Trieste and Jordan,9,Discussion on Trieste settlement | Protest by King Hussain | AMERICAN ARMY ATTACHÉ [SPROUSE / BENELUX] | COUNSELOR SPROUSE | CREVATINI | FOREIGN MINISTER PICCIONI | FRENCH MILITARY FORCES | ISRAELI JORDANIAN MIXED ARMISTICE COMMISSION,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
29,COMMUNITY:29,0,NARRATIVE:0,Suez Canal Geopolitical Dynamics,43,SUEZ CANAL | CZECH | Arrival of Soviet air technicians | AMERICAN ARMY | SHUAYR | ISRAELI SHIP BAT GALIM | Exodus of Egyptian families | Soviet arms shipment,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
30,COMMUNITY:30,0,NARRATIVE:0,UN Peacekeeping and Regional Military Dynamics,33,UN TRUCE SUPERVISION ORGANIZATION | GENERAL RILEY | MIXED ARMISTICE COMMISSIONS | KIBBUTZ HAVOGRIM | MIXED ARMISTICE COMMISSION MAC | PALESTINE MIXED ARMISTICE COMMISSION | Israel's military parade | Arab states military parade consideration,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
31,COMMUNITY:31,0,NARRATIVE:0,Jordan Arab Legion and Regional Dynamics,33,JORDAN ARAB LEGION | HUSSEIN [83ED] | Deal between Egypt and Poland | Greece grants clearance | Israeli troops fired upon | Major General Nuwar's statement | Meeting between Hussein and Byroade | BANK OF CHINA [UNDERGROUND / INSURGENTS],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
32,COMMUNITY:32,0,NARRATIVE:0,Gaza and Asali Diplomatic Dynamics,39,GAZA | ASALI | EGYPTIANS | CAIRO RADIO [YACOV / HULA] | AMERICAN CONSUL IN PORT SAID | Communique Issued | Nehru's Consideration to Travel | Sinking of Ships,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
33,COMMUNITY:33,0,NARRATIVE:0,Diplomatic and Military Dynamics in the Levant,21,AMERICAN EMBASSY IN AMMAN [SYRIA / MALLORY] | IMAM AHMAD | NASR [LEBANON / ARABIA] | SYRIAN ARMY [MEIR / LAWSON] | Meeting in Riyadh | Pressure for Military Pact | Refusal to Join Bloc | USSR [ISRAEL / HUSSAIN],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
34,COMMUNITY:34,0,NARRATIVE:0,Israeli-Jordanian Diplomatic Engagements,37,AMERICAN EMBASSY IN TEL AVIV [YUGOSLAVIA / BUCHAREST] | ISRAELI JORDAN MIXED ARMISTICE COMMISSION | Extraordinary session of the Israeli-Jordan Mixed Armistice Commission | BRITISH PRIME MINISTER EDEN | BRITISH FRENCH AND AMERICAN AMBASSADORS | KING HUSSAIN OF JORDAN | Israeli attack on Jordanian police post | Clashes between Israel and Jordan,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
