alias,canonical_label,review_status,heuristic_reason,final_score,openai_decision,openai_confidence
11TH INTER-AMERICAN CONFERENCE,INTER-AMERICAN CONFERENCE,accept_openai,lexical_context_similarity,0.7867,merge,0.8
16TH CHINESE COMMUNIST ARMY,CHINESE COMMUNIST 16TH ARMY,accept_rule,token_bag_match,0.94,,
1936 ANGLO-EGYPTIAN TREATY,ANGLO-EGYPTIAN TREATY OF 1936,accept_openai,lexical_context_similarity,0.8347,merge,0.9
1952 MUTUAL SECURITY ACT,MUTUAL SECURITY ACT,accept_openai,lexical_context_similarity,0.78,merge,0.85
1954 GENEVA AGREEMENT,GENEVA AGREEMENTS,accept_openai,lexical_context_similarity,0.7236,merge,0.8
1954 GENEVA CONFERENCE,GENEVA CONFERENCE,accept_openai,lexical_context_similarity,0.7456,merge,0.8
1ST MILITARY REGION,FIRST MILITARY REGION,accept_openai,lexical_context_similarity,0.6888,merge,0.85
23RD CHINESE COMMUNIST ARMY,CHINESE COMMUNIST ARMY,accept_openai,lexical_context_similarity,0.7668,merge,0.8
26TH AIR DIVISION,CHINESE COMMUNIST 26TH AIR DIVISION,accept_openai,lexical_context_similarity,0.6504,merge,0.8
26TH OF JULY MOVEMENT,26 OF JULY MOVEMENT,accept_openai,lexical_context_similarity,0.6745,merge,0.9
2ND PARATROOP BATTALION,KONG LES SECOND PARATROOP BATTALION,accept_openai,lexical_context_similarity,0.7174,merge,0.85
320TH DIVISION,VIET MINH 320TH DIVISION,accept_openai,lexical_context_similarity,0.696,merge,0.85
3RD INFANTRY DIVISION,BRITISH THIRD INFANTRY DIVISION,accept_openai,lexical_context_similarity,0.6129,merge,0.8
42ND ARMY,CHINESE COMMUNIST 42ND ARMY,accept_openai,lexical_context_similarity,0.6078,merge,0.8
46TH CHINESE ARMY,CHINESE COMMUNIST ARMY,accept_openai,lexical_context_similarity,0.6529,merge,0.85
82-NATION UN DISARMAMENT COMMISSION,UN DISARMAMENT COMMISSION,accept_openai,lexical_context_similarity,0.753,merge,0.8
8TH AIR DIVISION,CHINESE COMMUNIST 8TH AIR DIVISION,accept_openai,lexical_context_similarity,0.7103,merge,0.85
A. A. GROMYKO,GROMYKO,accept_rule,person_title_variant,0.95,,
A. G. ZVEREV,ARSEN ZVEREV,accept_openai,lexical_context_similarity,0.6761,merge,0.8
A. I. KIRICHENKO,ALEXEI KIRICHENKO,accept_openai,lexical_context_similarity,0.6146,merge,0.8
A. I. LAVRENTIEV,LAVRENTIEV,accept_openai,lexical_context_similarity,0.8039,merge,0.8
A. I. MIKOYAN,ANASTAS MIKOYAN,accept_openai,lexical_context_similarity,0.8145,merge,0.85
A. N. KOSYGIN,KOSYGIN,accept_openai,lexical_context_similarity,0.7695,merge,0.85
AAPC,ALL-AFRICAN PEOPLES CONFERENCE,accept_rule,acronym_match,0.9,,
ABADAN REFINERIES,ABADAN REFINERY,accept_openai,lexical_context_similarity,0.6085,merge,0.8
ABAKO,ABAKO PARTY,accept_openai,lexical_context_similarity,0.7462,merge,0.85
ABBAS,FERHAT ABBAS,accept_openai,lexical_context_similarity,0.6546,merge,0.9
ABBOUD REGIME,ABBOUD MILITARY REGIME,accept_openai,lexical_context_similarity,0.7151,merge,0.85
ABBOUDS MILITARY REGIME,ABBOUD MILITARY REGIME,accept_openai,lexical_context_similarity,0.7188,merge,0.8
ABD AL-HAKIM AMIR,AMIR,accept_openai,lexical_context_similarity,0.622,merge,0.8
ABD AL-ILAH,CROWN PRINCE ABD AL-ILAH,accept_openai,lexical_context_similarity,0.659,merge,0.85
ABD AL-RAHMAN,PRINCE ABD AL-RAHMAN,accept_rule,person_title_variant,0.95,,
ABDELKHALIK TORRES,ABDELKHALEK TORRES,accept_openai,lexical_context_similarity,0.6367,merge,0.8
ABDI,MAJOR GENERAL ABDI,accept_rule,person_title_variant,0.95,,
ABDIRASCID ALI SCERMARCHE,ABDIRASCID,accept_openai,lexical_context_similarity,0.6199,merge,0.85
ABDIRASCID ALI SCERMERCHE,ABDIRASCID,accept_openai,lexical_context_similarity,0.6969,merge,0.8
ABDOL HOSEIN MASUD-ANSARI,MASUD-ANSARI,accept_openai,lexical_context_similarity,0.7062,merge,0.85
ABDUL NASR,NASR,accept_rule,person_title_variant,0.95,,
ABDUL RAHMAN (BABU),ABDUL RAHMAN,accept_rule,parenthetical_base_match,0.91,,
ABDULLA RIMAWI,ABDULLAH RIMAWI,accept_openai,lexical_context_similarity,0.6864,merge,0.85
ABDULLAH,KING ABDULLAH,accept_rule,person_title_variant,0.95,,
ABDULLAH IBRAHIM,ABDALLAH IBRAHIM,accept_openai,lexical_context_similarity,0.6121,merge,0.8
ABUL HUDA,TAWFIQ ABUL HUDA,accept_openai,lexical_context_similarity,0.6733,merge,0.85
ACHDUT-HAAVODA,ACHDUT HAAVODA,accept_rule,token_bag_match,0.94,,
ACHESON,SECRETARY ACHESON,accept_rule,person_title_variant,0.95,,
ACTING FOREIGN MINISTER,BURMESE ACTING FOREIGN MINISTER,accept_openai,lexical_context_similarity,0.7088,merge,0.85
ACTION COMMITTEE FOR THE LIBERATION OF WEST IRIAN,WEST IRIAN LIBERATION COMMITTEE,accept_openai,lexical_context_similarity,0.7171,merge,0.8
ADEN ABDULLAH OSMAN,ADEN ABDULLAH,accept_openai,lexical_context_similarity,0.7331,merge,0.8
ADEN COLONY,ADEN,accept_openai,lexical_context_similarity,0.615,merge,0.8
ADENAUERS COALITION,ADENAUER COALITION,accept_openai,lexical_context_similarity,0.6828,merge,0.85
ADENAUERS GOVERNMENT,ADENAUER GOVERNMENT,accept_openai,lexical_context_similarity,0.7142,merge,0.85
ADIB SHISHAKLI,SHISHAKLI,accept_openai,lexical_context_similarity,0.6977,merge,0.85
ADMIRAL BRIGGS,AMBASSADOR BRIGGS,accept_rule,person_title_variant,0.95,,
ADMIRAL KUZNETSOV,KUZNETSOV,accept_rule,person_title_variant,0.95,,
ADMIRAL LARRAZABAL,ADMIRAL WOLFGANG LARRAZABAL,accept_openai,lexical_context_similarity,0.6946,merge,0.8
ADMIRAL ROJAS,ROJAS,accept_rule,person_title_variant,0.95,,
AFGHAN DEFENSE MINISTRY,AFGHAN MINISTRY OF DEFENSE,accept_openai,lexical_context_similarity,0.7466,merge,0.85
AFGHAN KING,KING ZAHIR SHAH,accept_openai,lexical_context_similarity,0.6702,merge,0.85
AFGHAN KING ZAHIR,KING ZAHIR SHAH,accept_openai,lexical_context_similarity,0.8086,merge,0.9
AFGHAN KING ZAHIR SHAH,KING ZAHIR SHAH,accept_openai,lexical_context_similarity,0.812,merge,0.9
AFGHAN PRIME MINISTER,PRIME MINISTER DAUD,accept_openai,lexical_context_similarity,0.7958,merge,0.8
AFGHAN PRIME MINISTER DAUD,PRIME MINISTER DAUD,accept_openai,lexical_context_similarity,0.7933,merge,0.8
AFIF BIZRI,LT. GEN. AFIF BIZRI,accept_openai,lexical_context_similarity,0.6693,merge,0.85
AFONSO ARINOS,ARINOS,accept_openai,lexical_context_similarity,0.6423,merge,0.85
AFPFL,ANTI-FASCIST PEOPLES FREEDOM LEAGUE,accept_rule,acronym_match,0.9,,
AFRICAN NATIONAL CONGRESS (ANC),AFRICAN NATIONAL CONGRESS,accept_rule,parenthetical_base_match,0.91,,
