alias,canonical_label,notes,source,review_status,final_score
"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE ARMY","ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",lexical_context_similarity,stage_a1_auto,accept_heuristic,1.0
ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,lexical_context_similarity,stage_a1_auto,accept_heuristic,0.9998
ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,lexical_context_similarity,stage_a1_auto,accept_heuristic,0.9731
US FAR EAST COMMAND,FAR EAST COMMAND,lexical_context_similarity,stage_a1_auto,accept_openai,0.9177
KING MOHAMED,KING MOHAMED V,lexical_context_similarity,stage_a1_auto,accept_openai,0.9128
PRIME MINISTER U NU,PRIME MINISTER NU,lexical_context_similarity,stage_a1_auto,accept_openai,0.9076
US EMBASSY LONDON,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8989
D. S. SHEPILOV,SHEPILOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8979
U KYAW NYEIN,KYAW NYEIN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8979
BURMESE PREMIER U NU,PREMIER NU,lexical_context_similarity,stage_a1_auto,accept_openai,0.8975
AMERICAN EMBASSY AT COPENHAGEN,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8939
US AMBASSADOR ALLEN,AMBASSADOR ALLEN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8833
US EMBASSY RANGOON,AMERICAN EMBASSY IN RANGOON,lexical_context_similarity,stage_a1_auto,accept_openai,0.8813
NEPALI CONGRESS PARTY,NEPALI CONGRESS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8799
US FAR EAST AIR FORCE,FAR EAST AIR FORCE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8793
US EMBASSY ROME,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8776
INTERNATIONAL BANK OF RECONSTRUCTION AND DEVELOPMENT,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8766
"DIRECTOR, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8749
FRENCH CHRISTIAN WORKERS LABOR CONFEDERATION,FRENCH CHRISTIAN WORKERS CONFEDERATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8743
US HIGH COMMISSIONER MCCLOY,HIGH COMMISSIONER MCCLOY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8736
TYURA TAM GUIDED MISSILE TEST RANGE,TYURA TAM,lexical_context_similarity,stage_a1_auto,accept_openai,0.872
US LEGATION SAIGON,US LEGATION IN SAIGON,lexical_context_similarity,stage_a1_auto,accept_openai,0.871
BRITISH ANGLO-IRANIAN OIL COMPANY,ANGLO-IRANIAN OIL COMPANY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8688
DISARMAMENT COMMISSION,UN DISARMAMENT COMMISSION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8687
LT. GENERAL TIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8686
US EMBASSY CAIRO,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8685
V. KUZNETSOV,KUZNETSOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8684
PREMIER U NU,PREMIER NU,lexical_context_similarity,stage_a1_auto,accept_openai,0.8679
US EMBASSY PARIS,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8655
COMMITTEE FOR NATIONAL UNION,COMMITTEE OF NATIONAL UNION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8649
EMPEROR HAILE SELASSIE,HAILE SELASSIE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8644
SECURITY COUNCIL,UN SECURITY COUNCIL,lexical_context_similarity,stage_a1_auto,accept_openai,0.8641
GEN. TEIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8636
V. K. KRISHNA MENON,KRISHNA MENON,lexical_context_similarity,stage_a1_auto,accept_openai,0.8623
LANKA SAMA SAMAJ PARTY,LANKA SAMA SAMAJ PARTY (LSSP),lexical_context_similarity,stage_a1_auto,accept_openai,0.8615
US EMBASSY NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8615
US MILITARY ASSISTANCE ADVISORY GROUP,MILITARY ASSISTANCE ADVISORY GROUP,lexical_context_similarity,stage_a1_auto,accept_openai,0.8599
NIKOLAY G. IGNATOV,NIKOLAY IGNATOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8586
DEMOCRATIC REPUBLICAN UNION PARTY (URD),DEMOCRATIC REPUBLICAN UNION (URD),lexical_context_similarity,stage_a1_auto,accept_openai,0.8585
UN PALESTINE CONCILIATION COMMISSION,PALESTINE CONCILIATION COMMISSION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8572
EMBASSY MOSCOW,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.857
NORTH VIETNAMESE NATIONAL RED CROSS,NORTH VIETNAMESE RED CROSS,lexical_context_similarity,stage_a1_auto,accept_openai,0.856
ANGLO-JORDANIAN DEFENSE TREATY,ANGLO-JORDANIAN TREATY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8559
SOUTH KOREAN ASSEMBLY,SOUTH KOREAN NATIONAL ASSEMBLY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8557
FOREIGN MINISTER BIDAULT,FRENCH FOREIGN MINISTER BIDAULT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8541
US EMBASSY WARSAW,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8534
